num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,num_env_steps_sampled_lifetime_throughput,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_env_steps_sampled_lifetime,env_runners/sample,env_runners/episode_duration_sec_mean,env_runners/num_episodes_lifetime,env_runners/env_reset_timer,env_runners/episode_return_mean,env_runners/episode_return_min,env_runners/num_env_steps_sampled,env_runners/episode_len_max,env_runners/episode_len_min,env_runners/env_step_timer,env_runners/connector_pipeline_timer,env_runners/env_to_module_sum_episodes_length_out,env_runners/rlmodule_inference_timer,env_runners/num_episodes,env_runners/episode_len_mean,env_runners/time_between_sampling,env_runners/episode_return_max,env_runners/env_to_module_sum_episodes_length_in,env_runners/weights_seq_no,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/agent_episode_returns_mean/agent_2,env_runners/agent_episode_returns_mean/agent_0,env_runners/agent_episode_returns_mean/agent_1,env_runners/num_agent_steps_sampled/agent_1,env_runners/num_agent_steps_sampled/agent_2,env_runners/num_agent_steps_sampled/agent_0,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/agent_steps/agent_2,env_runners/agent_steps/agent_0,env_runners/agent_steps/agent_1,env_runners/num_module_steps_sampled/shared_policy,env_runners/num_agent_steps_sampled_lifetime/agent_0,env_runners/num_agent_steps_sampled_lifetime/agent_2,env_runners/num_agent_steps_sampled_lifetime/agent_1,env_runners/module_episode_returns_mean/shared_policy,learners/shared_policy/num_module_steps_trained,learners/shared_policy/curr_kl_coeff,learners/shared_policy/vf_loss,learners/shared_policy/mean_kl_loss,learners/shared_policy/policy_loss,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/entropy,learners/shared_policy/vf_explained_var,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/num_trainable_parameters,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/total_loss,learners/shared_policy/gradients_default_optimizer_global_norm,learners/shared_policy/weights_seq_no,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,env_runners/timers/connectors/numpy_to_tensor,env_runners/timers/connectors/agent_to_module_mapping,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad
1,2048,nan,False,1,16419_00000,2025-06-05_10-21-48,1749111708,1.976844072341919,1.976844072341919,49426,Tegans-MacBook-Air.local,127.0.0.1,1.976844072341919,1,1.9729692500000002,1.3166999998759366e-05,1.9728401249999994,1.181519625,0.7893151249999999,0.0008999579999997565,2048,0.09730340250804105,0.03870741015749993,27,0.00018129100000052745,-82.4820662319808,-173.17224976972713,2048,75,75,7.895397743727694e-05,0.00033291700000059876,31.37149435396863,0.0002058750714444755,27,75.0,0.005114404918345091,-53.33077509754359,31.37149435396863,0.0,nan,1,0,0,21.599999999999998,83.3,0.0006152154914884191,-27.60138318843805,-27.434716521771378,-27.44596652177138,710,710,682,8.590906528896874e-05,2102,25.0,25.0,25.0,2102,682,710,710,-41.27432840328934,21760,0.10000000149011612,7.9085283,0.0043526734,0.04945485,21760,1.597957,-0.0032211542,1.0,0.0005,106.65322,128.0,142854,0.01,7.9428744,1.9592649,1.0,21760,21760,348160,2048,2048,142854,0,348160,nan,5.5915999999989197e-05,4.999999999810711e-06,2.8083000000123093e-05,4.391700000017093e-05,2.1042000000193184e-05,4.9579999998883295e-06,0.21437062499999904,5.384765914232739e-06,7.967932049419502e-05,0.00044997774625415337,1.2175773274708268e-05,2.2508780630601903e-05,9.688237737806962e-07,2.315305687663491e-06,3.0697563326791855e-06,1.4999565705604326e-05,2.826771279872645e-06,9.950040314176086e-06,1.5253811353757726e-05,4.569413592527796e-06,0.01266179200000117,4.457999999374351e-06,0.1519282499999992,0.000933041999999773,0.027745042000001163,0.0018714169999984875,0.018035874999998924,0.0009062499999998863,1.541700000018409e-05
1,4096,1125.1932464459685,False,2,16419_00000,2025-06-05_10-21-49,1749111709,1.8066210746765137,3.7834651470184326,49426,Tegans-MacBook-Air.local,127.0.0.1,3.7834651470184326,2,1.9712651308400002,1.3153249998776318e-05,1.9711353041699993,1.18164413542,0.7874830816699999,0.0009013779999997417,4096,0.09666364504262726,0.03862440057999966,54,0.00018129100000052745,-84.63111764493688,-173.17224976972713,2048,75,75,7.891098548064175e-05,0.00033291700000059876,31.540666754008832,0.00018370104723473808,27,75.0,0.006234418031570932,-49.601983306100394,31.540666754008832,1.0,1125.1932464459685,1,0,0,40.766666666666666,83.13333333333334,0.0005495653247057779,-28.23412254831228,-28.17662254831228,-28.22037254831228,710,709,683,8.546706512628261e-05,4204,25.0,25.0,25.0,2102,1365,1419,1420,-41.32846486808131,21760,0.05000000074505806,7.3567805,0.0026024012,0.034809306,43520,1.5948682,0.016236365,1.0,0.0005,115.55114,128.0,142854.0,0.01,7.3759017,1.3328872,2.0,21760,43520,348160,2048.0,2048.0,142854.0,0.0,696320,0.0,5.5915999999989197e-05,4.999999999810711e-06,2.8083000000123093e-05,4.391700000017093e-05,2.1042000000193184e-05,4.9579999998883295e-06,0.21435572679579903,5.365475545626391e-06,7.178281471053998e-05,0.00039364294237621356,1.2136882025436135e-05,2.1469265503975678e-05,9.69542907032734e-07,2.2895981456545998e-06,3.0662928175057586e-06,1.493212124664119e-05,2.8232327974916435e-06,9.839369137640522e-06,1.520281072905191e-05,4.555638732126943e-06,0.01266128484580117,4.457979199374406e-06,0.1519137220249992,0.0009329596915997729,0.027745246008301163,0.0018714331415984877,0.018035900891698927,0.0009062363290998864,1.5417229200184224e-05
1,6144,1169.4927707875759,False,3,16419_00000,2025-06-05_10-21-51,1749111711,1.7386839389801025,5.522149085998535,49426,Tegans-MacBook-Air.local,127.0.0.1,5.522149085998535,3,1.9689025141216001,1.314504749876111e-05,1.9687721036282995,1.1811745111458,0.7855890483532999,0.0009014267199997432,6144,0.09553729138556512,0.03683567354999999,81,0.00018129100000052745,-83.2889712893583,-178.42657236210232,2048,75,75,7.815487321746966e-05,0.00033291700000059876,31.660608001599826,0.00016417128154328498,27,75.0,0.007897205169786427,-49.50990801453211,31.660608001599826,2.0,1169.4927707875759,1,0,0,27.2,83.15,0.0004921754022447194,-27.697990429786095,-27.807990429786095,-27.782990429786096,709,710,683,8.447737034039152e-05,6306,25.0,25.0,25.0,2102,2048,2129,2129,-39.425335241073114,21760,0.02500000037252903,7.401106,0.004706747,0.25275663,65280,1.5938255,0.0273301,1.0082644,0.0005,168.18779,128.0,142854.0,0.01,7.6381598,1.523327,3.0,21760,65280,348160,2048.0,2048.0,142854.0,0.0,1044480,0.0,5.5915999999989197e-05,4.999999999810711e-06,2.8083000000123093e-05,4.391700000017093e-05,2.1042000000193184e-05,4.9579999998883295e-06,0.21432583635148306,5.3257252373216596e-06,6.486822529006803e-05,0.0003448492611538029,1.2019991361647238e-05,2.046350549260698e-05,9.62167751621117e-07,2.253668276632077e-06,3.0480660494205596e-06,1.4713012012647267e-05,2.8018260197157298e-06,9.65970353225029e-06,1.5040746267544397e-05,4.495403152857475e-06,0.01266022224708517,4.45792971537454e-06,0.1518849569052992,0.0009327951751677729,0.027745394236335163,0.001871449139566488,0.018035894665564926,0.0009062099733178865,1.5417278816184087e-05
1,8192,1132.8194898053152,False,4,16419_00000,2025-06-05_10-21-53,1749111713,1.7971529960632324,7.319302082061768,49426,Tegans-MacBook-Air.local,127.0.0.1,7.319302082061768,4,1.967146668150384,1.314151702377056e-05,1.9670152334220166,1.180797465194342,0.7842045845397669,0.0009044891227997376,8192,0.0940469291298314,0.036529494584999975,109,0.00018129100000052745,-76.36237427674487,-122.57431324906177,2048,75,75,7.750207573056916e-05,0.00033291700000059876,31.74369293616304,0.00014755279506346075,28,75.0,0.009910267458362994,-40.168888679586445,31.74369293616304,3.0,1132.8194898053152,1,0,0,28.333333333333332,82.86666666666667,0.0004432542967899809,-25.364958092248308,-25.489958092248308,-25.507458092248307,711,711,682,8.361581624608998e-05,8410,25.0,25.0,25.0,2104,2730,2840,2840,-39.09137775207321,21888,0.012500000186264515,7.0112467,0.0028723695,-0.070336215,87168,1.5866529,0.040174425,1.0,0.0005,50.5022,128.0,142854.0,0.01,6.925116,2.5433416,4.0,21888,87168,350208,2048.0,2048.0,142854.0,0.0,1394688,0.0,5.5915999999989197e-05,4.999999999810711e-06,2.8083000000123093e-05,4.391700000017093e-05,2.1042000000193184e-05,4.9579999998883295e-06,0.21428132511837378,5.289665759711741e-06,5.896379941348171e-05,0.0003032829906402777,1.191623123759005e-05,1.9599216427109727e-05,9.551745189828935e-07,2.224208373946875e-06,3.0323810344655797e-06,1.4520927677776693e-05,2.7817417666626102e-06,9.508617534932347e-06,1.4894401169731627e-05,4.444075931041325e-06,0.01265863493845891,4.45786452313471e-06,0.15184225506579072,0.0009325500280952527,0.027745509971107654,0.0018714663034609688,0.01803586910296444,0.0009061720668186165,1.5416981516943753e-05
1,10240,1093.246871811934,False,5,16419_00000,2025-06-05_10-21-55,1749111715,1.8628993034362793,9.182201385498047,49426,Tegans-MacBook-Air.local,127.0.0.1,9.182201385498047,5,1.96605982354888,1.317844185353473e-05,1.9659270031677964,1.1807922855423985,0.7831065766143692,0.0009100808915717694,10240,0.09236224521503995,0.037589720290000156,136,0.00018129100000052745,-87.79809259766775,-141.22374897687104,2048,75,75,7.729166853394541e-05,0.00033291700000059876,31.855669003544737,0.00013370035667326948,27,75.0,0.012215468764131994,-54.538917520949916,31.855669003544737,4.0,1093.246871811934,1,0,0,43.20000000000001,82.63333333333334,0.00040229390666732224,-29.36269753255592,-29.266447532555922,-29.168947532555922,710,709,683,8.321495320707242e-05,10512,25.0,25.0,25.0,2102,3413,3549,3550,-41.25695270344161,21760,0.0062500000931322575,7.663608,0.0025737742,0.07988283,108928,1.5873847,0.009557426,1.0,0.0005,158.49387,128.0,142854.0,0.01,7.7276487,3.0541954,5.0,21760,108928,348160,2048.0,2048.0,142854.0,0.0,1742848,0.0,5.5915999999989197e-05,4.999999999810711e-06,2.8083000000123093e-05,4.391700000017093e-05,2.1042000000193184e-05,4.9579999998883295e-06,0.21422268548049156,5.277627714984862e-06,5.402460425754558e-05,0.0002682048079292441,1.1875504847685994e-05,1.893289722502778e-05,9.536958978145233e-07,2.2058863231695747e-06,3.0299257479036553e-06,1.4426176620648261e-05,2.7749505119689454e-06,9.415664685986427e-06,1.4832491479440502e-05,4.423609677393331e-06,0.012656556353780466,4.458417341768298e-06,0.15178591420908186,0.0009322305253466662,0.02774574354346106,0.0018714840083636035,0.018035812632949403,0.0009061303599520003,1.541901503580643e-05
1,12288,1134.7609420538677,False,6,16419_00000,2025-06-05_10-21-57,1749111717,1.7792761325836182,10.961477518081665,49426,Tegans-MacBook-Air.local,127.0.0.1,10.961477518081665,6,1.9641546669833914,1.524249743499822e-05,1.9640184777161185,1.1807054406069744,0.7812844091882255,0.0009101292426560444,12288,0.09056623679156726,0.0371082137025,163,0.00018129100000052745,-83.75007271548775,-127.01002922291994,2048,75,75,7.701937211124706e-05,0.00033291700000059876,31.9349168879732,0.00012181449980122867,27,75.0,0.014741022444800198,-55.26927897760049,31.9349168879732,5.0,1134.7609420538677,1,0,0,47.05,82.95,0.0003671218551799838,-27.99627423849591,-28.047524238495917,-27.70627423849591,709,710,683,8.279110079828178e-05,12614,25.0,25.0,25.0,2102,4096,4259,4259,-40.667823180107646,21760,0.0031250000465661287,7.7725954,0.0035011556,0.06569632,130688,1.5855165,0.024281025,1.0,0.0005,90.46985,128.0,142854.0,0.01,7.8224587,3.9164739,6.0,21760,130688,348160,2048.0,2048.0,142854.0,0.0,2091008,0.0,5.5915999999989197e-05,4.999999999810711e-06,2.8083000000123093e-05,4.391700000017093e-05,2.1042000000193184e-05,4.9579999998883295e-06,0.21415042417785515,5.261519525393994e-06,4.977237085812735e-05,0.00023819693208532898,1.1821220791468327e-05,1.8339813166352943e-05,9.514215726169761e-07,2.1878458336857407e-06,3.025986717274447e-06,1.4332901457387767e-05,2.7675433414487053e-06,9.327220022043386e-06,1.4769340809640773e-05,4.400180414909565e-06,0.012654096756501745,4.4589591175768386e-06,0.1517162227815006,0.0009318350117502418,0.02774608537677029,0.0018715188000378393,0.01803583269712437,0.0009060845992160348,1.5421086986140334e-05
1,14336,1160.121640000178,False,7,16419_00000,2025-06-05_10-21-58,1749111718,1.7540359497070312,12.715513467788696,49426,Tegans-MacBook-Air.local,127.0.0.1,12.715513467788696,7,1.9620160298935574,1.5203412460646868e-05,1.9618791496089572,1.1804485932809046,0.7794002705163433,0.0009103067002294697,14336,0.08871522364747042,0.03686384345249942,191,0.00018129100000052745,-79.17591743622354,-160.23304535650664,2048,75,75,7.66936313536208e-05,0.00033291700000059876,31.974527280640977,0.00011159143539111775,28,75.0,0.017246054768643472,-31.247841668987384,31.974527280640977,6.0,1160.121640000178,1,0,0,27.166666666666668,82.9,0.0003370486525621526,-26.35613914540785,-26.38113914540785,-26.43863914540785,711,711,682,8.228711501567982e-05,14718,25.0,25.0,25.0,2104,4778,4970,4970,-37.78218373230835,21888,0.0015625000232830644,7.4536076,0.0031021931,0.06302948,152576,1.576012,-0.022149086,1.0,0.0005,151.55388,128.0,142854.0,0.01,7.5008874,1.9387885,7.0,21888,152576,350208,2048.0,2048.0,142854.0,0.0,2441216,0.0,5.5915999999989197e-05,4.999999999810711e-06,2.8083000000123093e-05,4.391700000017093e-05,2.1042000000193184e-05,4.9579999998883295e-06,0.2140644642702234,5.244281764342041e-06,4.613868652971727e-05,0.00021261753122428658,1.1762590497317401e-05,1.781622835328513e-05,9.470444119840791e-07,2.1706827640679595e-06,3.0158138264784457e-06,1.4218627792231376e-05,2.7589247772192074e-06,9.233145482982547e-06,1.46886158234494e-05,4.369552530261195e-06,0.012651175174733222,4.45944841613508e-06,0.15163343132855006,0.0009313646062732113,0.027746416940658984,0.0018715537474777541,0.018035827278752543,0.0009060276990587937,1.5422900595963828e-05
1,16384,1027.0609409924218,False,8,16419_00000,2025-06-05_10-22-00,1749111720,1.983288288116455,14.698801755905151,49426,Tegans-MacBook-Air.local,127.0.0.1,14.698801755905151,8,1.9621900312546217,1.519095833604298e-05,1.9620524014428675,1.1823406290080956,0.7776744969811799,0.0009147348832271535,16384,0.08686000537035417,0.03660696467250004,218,0.00018129100000052745,-87.17084379929794,-160.23304535650664,2048,75,75,7.630078417070973e-05,0.00033291700000059876,32.038707679128535,0.00010279080697349956,27,75.0,0.019688046113141844,-44.86242192471032,32.038707679128535,7.0,1027.0609409924218,1,0,0,31.55,82.95,0.0003112558932495223,-28.82861459976597,-29.21111459976597,-29.13111459976597,710,709,683,8.178438522048508e-05,16820,25.0,25.0,25.0,2102,5461,5679,5680,-42.01055674110038,21760,0.0007812500116415322,7.743752,0.003019374,0.052949075,174336,1.5767035,0.021916091,1.0,0.0005,103.67661,128.0,142854.0,0.01,7.7809386,2.324625,8.0,21760,174336,348160,2048.0,2048.0,142854.0,0.0,2789376,0.0,5.5915999999989197e-05,4.999999999810711e-06,2.8083000000123093e-05,4.391700000017093e-05,2.1042000000193184e-05,4.9579999998883295e-06,0.21396506098502652,5.224331589548131e-06,4.302400657697605e-05,0.0001907356352396468,1.1701086095897693e-05,1.735510905111288e-05,9.427101665658394e-07,2.153457778152893e-06,3.0061418534364553e-06,1.4106317691727971e-05,2.7464854642724304e-06,9.149482509558709e-06,1.4599665925538434e-05,4.337627456724613e-06,0.012647787677424418,4.4599028328104e-06,0.1515378031532804,0.0009308204212045463,0.02774670647723223,0.001871588539888867,0.01803581535217844,0.0009059672826447758,1.5424527524892282e-05
1,18432,1125.7802698946919,False,9,16419_00000,2025-06-05_10-22-02,1749111722,1.8076159954071045,16.506417751312256,49426,Tegans-MacBook-Air.local,127.0.0.1,16.506417751312256,9,1.9605942438520756,1.5166548752715916e-05,1.960455937008439,1.1823530852180144,0.7760637753513681,0.0009147842043948976,18432,0.08505629415302893,0.03768461431249993,245,0.00018129100000052745,-78.92829424860663,-131.37442887844992,2048,75,75,7.627997369013379e-05,0.00033291700000059876,32.10642193729174,9.566258679325698e-05,27,75.0,0.022321013378648998,-42.33083854964938,32.10642193729174,8.0,1125.7802698946919,1,0,0,29.566666666666663,83.10000000000001,0.00029001757926958174,-26.271514749535545,-26.362764749535543,-26.294014749535553,709,710,683,8.174849955221462e-05,18922,25.0,25.0,25.0,2102,6144,6389,6389,-41.55161655908048,21760,0.0003906250058207661,7.5211396,0.003901915,0.13616087,196096,1.5706904,0.011405349,1.0,0.0005,92.57705,128.0,142854.0,0.01,7.641597,2.2097359,9.0,21760,196096,348160,2048.0,2048.0,142854.0,0.0,3137536,0.0,5.5915999999989197e-05,4.999999999810711e-06,2.8083000000123093e-05,4.391700000017093e-05,2.1042000000193184e-05,4.9579999998883295e-06,0.21385263106490654,5.217487148593744e-06,4.045211076000928e-05,0.00017250715164018326,1.1686767639959844e-05,1.7013307680103856e-05,9.433564412618629e-07,2.1465155120526576e-06,3.011331703479953e-06,1.4125217191420457e-05,2.744676222399316e-06,9.113074127579108e-06,1.4584697362278797e-05,4.338628038100917e-06,0.012643929091744315,4.460493816310877e-06,0.15142960402338324,0.0009302059833766272,0.027747048293879945,0.0018716330518770098,0.018035846735607944,0.0009058971634891327,1.542631302518282e-05
1,20480,1113.710796822554,False,10,16419_00000,2025-06-05_10-22-04,1749111724,1.826282024383545,18.3326997756958,49426,Tegans-MacBook-Air.local,127.0.0.1,18.3326997756958,10,1.9592070126635548,1.5164043265202394e-05,1.9590675505583544,1.1822438518658342,0.7747784542678544,0.0009171430223509577,20480,0.0833461978732351,0.03718120636749973,273,0.00018129100000052745,-89.30089586836128,-142.02516002692713,2048,75,75,7.617581593902522e-05,0.00033291700000059876,32.130385776006676,8.943416061859575e-05,28,75.0,0.024762711157303705,-44.65549069334519,32.130385776006676,9.0,1113.710796822554,1,0,0,35.0,83.00000000000001,0.00027176127447416673,-29.749048622787075,-29.76154862278708,-29.790298622787077,711,711,682,8.152573310267327e-05,21026,25.0,25.0,25.0,2104,6826,7100,7100,-44.09903622485204,21888,0.00019531250291038305,7.826019,0.0034484055,0.20835313,217984,1.5726812,-0.039207935,1.0,0.0005,131.43011,128.0,142854.0,0.01,8.018645,2.271241,10.0,21888,217984,350208,2048.0,2048.0,142854.0,0.0,3487744,0.0,5.5915999999989197e-05,4.999999999810711e-06,2.8083000000123093e-05,4.391700000017093e-05,2.1042000000193184e-05,4.9579999998883295e-06,0.21372881520789047,5.214806662599439e-06,3.824772273014226e-05,0.00015684734171320493,1.1668460181570949e-05,1.672320374906746e-05,9.428518152879312e-07,2.153922353029381e-06,3.006904984810494e-06,1.407057020022327e-05,2.7409428838659964e-06,9.073857139644762e-06,1.4554319167507609e-05,4.3231635017595234e-06,0.012640395965710073,4.4610561898580475e-06,0.15130909819576868,0.000930088135663146,0.027747373695146984,0.0018716782564714006,0.01803601283063364,0.0009058154124883379,1.5429378762714946e-05
