num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,num_env_steps_sampled_lifetime_throughput,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_len_min,env_runners/num_env_steps_sampled,env_runners/env_reset_timer,env_runners/env_to_module_sum_episodes_length_in,env_runners/weights_seq_no,env_runners/num_env_steps_sampled_lifetime,env_runners/env_step_timer,env_runners/connector_pipeline_timer,env_runners/episode_len_max,env_runners/episode_len_mean,env_runners/episode_duration_sec_mean,env_runners/sample,env_runners/episode_return_mean,env_runners/rlmodule_inference_timer,env_runners/time_between_sampling,env_runners/episode_return_min,env_runners/num_episodes,env_runners/env_to_module_sum_episodes_length_out,env_runners/num_episodes_lifetime,env_runners/episode_return_max,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/num_agent_steps_sampled_lifetime/agent_0,env_runners/num_agent_steps_sampled_lifetime/agent_2,env_runners/num_agent_steps_sampled_lifetime/agent_1,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/agent_episode_returns_mean/agent_1,env_runners/agent_episode_returns_mean/agent_0,env_runners/agent_episode_returns_mean/agent_2,env_runners/num_module_steps_sampled/shared_policy,env_runners/agent_steps/agent_2,env_runners/agent_steps/agent_1,env_runners/agent_steps/agent_0,env_runners/num_agent_steps_sampled/agent_1,env_runners/num_agent_steps_sampled/agent_0,env_runners/num_agent_steps_sampled/agent_2,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/module_episode_returns_mean/shared_policy,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/num_module_steps_trained,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/curr_kl_coeff,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/vf_loss,learners/shared_policy/num_trainable_parameters,learners/shared_policy/entropy,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/weights_seq_no,learners/shared_policy/gradients_default_optimizer_global_norm,learners/shared_policy/policy_loss,learners/shared_policy/total_loss,learners/shared_policy/vf_explained_var,learners/shared_policy/mean_kl_loss,learners/shared_policy/default_optimizer_learning_rate,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/numpy_to_tensor,env_runners/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation
1,2048,nan,False,1,9a96f_00000,2025-06-02_15-29-41,1748870981,1.893805980682373,1.893805980682373,32560,Tegans-MacBook-Air.local,127.0.0.1,1.893805980682373,1,1.8900357089999993,1.1875000000216573e-05,1.8899170000000005,1.1160352499999995,0.7719370409999993,0.0008864589999983963,75,2048,0.00017045900000045577,31.37149435396863,0.0,2048,7.615517144871638e-05,0.000344250000000379,75,75.0,0.036554421014999956,0.08375817529828702,-74.54753469522348,0.00013927986671527444,0.005084053637522721,-136.07888983986936,27,31.37149435396863,27,-39.22934520847022,nan,1,0,0,20.033333333333335,82.9,682,710,710,8.100923379520539e-05,-24.892511565074493,-24.686261565074492,-24.9687615650745,2102,25.0,25.0,25.0,710,682,710,0.00043871792216041496,2102,-36.71707315326558,0.01,21760,94.64443,0.10000000149011612,21760,7.605679,142854,1.5965643,1.0,128.0,1.0,1.536951,0.10029104,7.690739,-0.009768963,0.003677071,0.0005,348160,348160,21760,21760,0,2048,142854,2048,nan,4.915999999965948e-06,1.620899999998926e-05,3.245799999973542e-05,3.72500000000997e-05,6.587499999977098e-05,5.040999999650353e-06,0.20758266600000042,8.919023134638736e-06,1.4490232035053823e-05,1.3567143826545946e-05,2.770074995943261e-06,3.032938616091455e-06,4.384894689506689e-06,9.374696482255216e-07,1.827854507920887e-05,5.275301215372109e-06,1.188423365472165e-05,2.96320873081898e-05,0.00032888228608051796,2.1840384860470076e-06,0.01801554200000055,0.0008430829999994671,0.0009184999999991561,0.0019013339999993661,4.999999999810711e-06,1.570799999939254e-05,0.14629383299999965,0.027979249999999567,0.011374166999999602
1,4096,1186.5940369374894,False,2,9a96f_00000,2025-06-02_15-29-42,1748870982,1.7130439281463623,3.6068499088287354,32560,Tegans-MacBook-Air.local,127.0.0.1,3.6068499088287354,2,1.8882294023299993,1.1880420000220937e-05,1.8881100983400005,1.1159770474999995,0.7701882285099992,0.0008867944099984192,75,2048,0.00017045900000045577,31.540666754008832,1.0,4096,7.608759248489821e-05,0.000344250000000379,75,75.0,0.03592305660999993,0.08331921492530164,-75.72881321067261,0.00012579720797902544,0.006175784812553114,-119.01634660752293,27,31.540666754008832,54,-24.238638037038335,1186.5940369374894,1,0,0,25.633333333333336,82.96666666666667,1365,1419,1420,8.073967874700997e-05,-25.24960440355754,-25.392104403557543,-25.087104403557543,2102,25.0,25.0,25.0,710,683,709,0.00039673955953025883,4204,-37.56551310694011,0.01,21760,67.73376,0.05000000074505806,43520,7.1127987,142854.0,1.594952,1.0,128.0,2.0,1.5233688,-0.021767845,7.0755196,-0.012852311,0.004376526,0.0005,696320,348160,21760,43520,0.0,2048.0,142854.0,2048.0,0.0,4.915999999965948e-06,1.620899999998926e-05,3.245799999973542e-05,3.72500000000997e-05,6.587499999977098e-05,5.040999999650353e-06,0.2075681970875004,8.889793511917494e-06,1.44541418245355e-05,1.3479164283281648e-05,2.761027054827352e-06,3.0270845034688857e-06,4.365681618736104e-06,9.354875880176252e-07,1.7749178205430107e-05,5.248807974493361e-06,1.1823698287473293e-05,2.8787903329498826e-05,0.0002887670755920897,2.1710844822389544e-06,0.01801551436670055,0.0008430777999994673,0.0009184180583991562,0.0019013318040993661,4.9999499998108375e-06,1.5707854199392555e-05,0.14627989096259966,0.027979263466599565,0.011373757120799603
1,6144,1157.766972531834,False,3,9a96f_00000,2025-06-02_15-29-44,1748870984,1.7585408687591553,5.365390777587891,32560,Tegans-MacBook-Air.local,127.0.0.1,5.365390777587891,3,1.8868877853966992,1.187494580021653e-05,1.8867673869466006,1.1160314691149995,0.7687870895548992,0.0008875885558984483,75,2048,0.00017045900000045577,31.660608001599826,2.0,6144,7.605244452361248e-05,0.000344250000000379,75,75.0,0.03596717154250033,0.08257420607927171,-78.81959351683511,0.00011436532456171575,0.0078019076101542,-153.96510090373926,27,31.660608001599826,81,-31.56393725797506,1157.766972531834,1,0,0,27.3,83.19999999999999,2048,2129,2129,8.050994372098085e-05,-26.277781172278374,-26.389031172278372,-26.152781172278374,2102,25.0,25.0,25.0,709,683,710,0.0003610022803459339,6306,-37.60970605544367,0.01,21760,104.707344,0.02500000037252903,65280,7.0689917,142854.0,1.5910053,1.0,128.0,3.0,0.6868577,-0.0045651766,7.0486627,0.010441363,0.0029299539,0.0005,1044480,348160,21760,65280,0.0,2048.0,142854.0,2048.0,0.0,4.915999999965948e-06,1.620899999998926e-05,3.245799999973542e-05,3.72500000000997e-05,6.587499999977098e-05,5.040999999650353e-06,0.2075395668907504,8.856428595303079e-06,1.4422219490438201e-05,1.3409155638804124e-05,2.7543166891152154e-06,3.0210069196219913e-06,4.350427273311296e-06,9.328906006975858e-07,1.7304075960046672e-05,5.228909602704018e-06,1.1777412574948996e-05,2.8054942354565403e-05,0.0002546025974699468,2.1601450577998724e-06,0.01801546133596655,0.0008430673373994675,0.0009182550097311562,0.0019013301396173662,4.999830199810965e-06,1.5707503015392743e-05,0.14625229100764767,0.027979298130467567,0.011372947872483602
1,8192,1120.6769994869915,False,4,9a96f_00000,2025-06-02_15-29-46,1748870986,1.8145079612731934,7.179898738861084,32560,Tegans-MacBook-Air.local,127.0.0.1,7.179898738861084,4,1.8861257917027323,1.186911634221377e-05,1.8860047168271346,1.1166211510938495,0.7674318882493502,0.0008883143303394864,75,2048,0.00017045900000045577,31.74369293616304,3.0,8192,7.648377237828171e-05,0.000344250000000379,75,75.0,0.03733044524499999,0.08165402708106786,-72.80423434993365,0.00010513569301089195,0.00984351209145301,-123.90012916106275,28,31.74369293616304,109,-47.63875041449788,1120.6769994869915,1,0,0,32.56666666666667,83.06666666666666,2730,2840,2840,8.083575185888478e-05,-24.330578116644546,-24.201828116644545,-24.271828116644546,2104,25.0,25.0,25.0,711,682,711,0.00033167872263390597,8410,-38.53963684396884,0.01,21888,55.43955,0.012500000186264515,87168,7.643242,142854.0,1.5885677,1.0,128.0,4.0,1.1867738,-0.009279507,7.6181393,-0.042272806,0.0024977846,0.0005,1394688,350208,21888,87168,0.0,2048.0,142854.0,2048.0,0.0,4.915999999965948e-06,1.620899999998926e-05,3.245799999973542e-05,3.72500000000997e-05,6.587499999977098e-05,5.040999999650353e-06,0.20749706916992666,8.907850229786015e-06,1.4476501858649385e-05,1.3464659964252803e-05,2.764247315660249e-06,3.028522359007356e-06,4.382307270355616e-06,9.344739912505799e-07,1.7021460713736894e-05,5.226892389677918e-06,1.1788532111598197e-05,2.7564364585473674e-05,0.00022617246233766524,2.158096364727627e-06,0.01801536737691056,0.0008430522512714675,0.0009180149927306763,0.0019013302585445967,4.999658600811047e-06,1.570761306965285e-05,0.14621132642939844,0.027979351366311547,0.011371749250021842
1,10240,1163.7244965919742,False,5,9a96f_00000,2025-06-02_15-29-48,1748870988,1.7489421367645264,8.92884087562561,32560,Tegans-MacBook-Air.local,127.0.0.1,8.92884087562561,5,1.884714648365705,1.1872095178768947e-05,1.8845924671588632,1.116766667912911,0.7658688039468567,0.0008889345270361148,75,2048,0.00017045900000045577,31.855669003544737,4.0,10240,7.639300155478675e-05,0.000344250000000379,75,75.0,0.03594975803250014,0.08062772359329544,-82.55928687232499,9.675710913413182e-05,0.012152631838821027,-125.37622803647216,27,31.855669003544737,136,-51.319273331424924,1163.7244965919742,1,0,0,27.549999999999997,82.7,3413,3549,3550,8.058443403407988e-05,-27.590178957441665,-27.45017895744167,-27.518928957441666,2102,25.0,25.0,25.0,710,683,709,0.00030558970081427385,10512,-38.70613658360385,0.01,21760,125.84349,0.0062500000931322575,108928,7.774941,142854.0,1.5862681,1.0,128.0,5.0,2.9842808,0.17331712,7.932432,0.0120898485,0.00289728,0.0005,1742848,348160,21760,108928,0.0,2048.0,142854.0,2048.0,0.0,4.915999999965948e-06,1.620899999998926e-05,3.245799999973542e-05,3.72500000000997e-05,6.587499999977098e-05,5.040999999650353e-06,0.2074409679009303,8.872290319847136e-06,1.4440103562459061e-05,1.3389478113642656e-05,2.756524174196153e-06,3.023580719613074e-06,4.364078383659894e-06,9.352685897192427e-07,1.6679878496057404e-05,5.210584402382751e-06,1.1749845774513648e-05,2.7022210486546548e-05,0.0002012790790946242,2.1500046433748123e-06,0.01801526333840209,0.0008430324767322876,0.0009176988546692327,0.0019013315545793209,4.999461350771028e-06,1.5708550172526195e-05,0.14615723784701343,0.0279794286868256,0.01137014822192207
1,12288,1174.5208411328038,False,6,9a96f_00000,2025-06-02_15-29-50,1748870990,1.7314789295196533,10.660319805145264,32560,Tegans-MacBook-Air.local,127.0.0.1,10.660319805145264,6,1.883143450632048,1.1875874226956191e-05,1.8830204916572746,1.1168510433137817,0.7642115709073882,0.0008885110217657318,75,2048,0.00017045900000045577,31.9349168879732,5.0,12288,7.624108438538987e-05,0.000344250000000379,75,75.0,0.035716386312499716,0.0795111358951335,-82.69603233418506,8.957894874015718e-05,0.014573903191470393,-141.83744680668275,27,31.9349168879732,163,-49.239697403080996,1174.5208411328038,1,0,0,29.066666666666666,82.73333333333333,4096,4259,4259,8.030499059884892e-05,-27.460344111395024,-27.720344111395026,-27.515344111395024,2102,25.0,25.0,25.0,709,683,710,0.0002832499863890822,12614,-40.566474684904485,0.01,21760,113.87057,0.0031250000465661287,130688,7.704098,142854.0,1.5826823,1.0,128.0,6.0,1.41755,0.17191033,7.8601995,0.046063542,0.002723261,0.0005,2091008,348160,21760,130688,0.0,2048.0,142854.0,2048.0,0.0,4.915999999965948e-06,1.620899999998926e-05,3.245799999973542e-05,3.72500000000997e-05,6.587499999977098e-05,5.040999999650353e-06,0.2073715530294969,8.833863358372607e-06,1.4397273946125807e-05,1.3313271802178059e-05,2.7476318347635657e-06,3.019187782839253e-06,4.342459671389261e-06,9.339639757652314e-07,1.6375591924887715e-05,5.1914807552052724e-06,1.1702489990963276e-05,2.65375515808826e-05,0.00018005631300400685,2.141006420049398e-06,0.018015159960626102,0.0008430090049587642,0.000917307325369745,0.0019013346916674962,4.999459679871753e-06,1.570923937203491e-05,0.14609029314943317,0.027979512396592743,0.011368172318559291
1,14336,1176.3516272442766,False,7,9a96f_00000,2025-06-02_15-29-51,1748870991,1.7302982807159424,12.390618085861206,32560,Tegans-MacBook-Air.local,127.0.0.1,12.390618085861206,7,1.8815773294557274,1.1867945484690743e-05,1.8814537534107019,1.116905487880644,0.7625880997783143,0.0008889467515480612,75,2048,0.00017045900000045577,31.974527280640977,6.0,14336,7.609348306445281e-05,0.000344250000000379,75,75.0,0.03561820973999954,0.07834957469027047,-79.02678995305725,8.345644359344597e-05,0.017004100056999927,-128.3820415720936,28,31.974527280640977,191,-47.00990387041293,1176.3516272442766,1,0,0,23.950000000000003,82.6,4778,4970,4970,8.005443421691701e-05,-26.288929984352418,-26.327679984352418,-26.410179984352418,2104,25.0,25.0,25.0,711,682,711,0.0002641931437821484,14718,-38.6807530279418,0.01,21888,100.8986,0.0015625000232830644,152576,6.942109,142854.0,1.5830112,1.0,128.0,7.0,1.1544808,-0.019534979,6.906752,-0.037378073,0.0028445004,0.0005,2441216,350208,21888,152576,0.0,2048.0,142854.0,2048.0,0.0,4.915999999965948e-06,1.620899999998926e-05,3.245799999973542e-05,3.72500000000997e-05,6.587499999977098e-05,5.040999999650353e-06,0.20728919249210204,8.801073890416718e-06,1.4360902831440508e-05,1.3249213857102184e-05,2.7384452861147307e-06,3.014685324057664e-06,4.325233626864117e-06,9.317028095903104e-07,1.6118438148810243e-05,5.178619108147034e-06,1.1657812375859632e-05,2.6115585187425027e-05,0.00016195805339837022,2.131982280899712e-06,0.018015021882371793,0.000842981970173038,0.0009168418900707802,0.0019013474953584503,4.999391496255364e-06,1.570995233253641e-05,0.14601077114281982,0.02797968264349586,0.011365852835141577
1,16384,1035.2262957192445,False,8,9a96f_00000,2025-06-02_15-29-53,1748870993,1.9655160903930664,14.356134176254272,32560,Tegans-MacBook-Air.local,127.0.0.1,14.356134176254272,8,1.8823796249111702,1.1886346029852728e-05,1.8822548342165948,1.1192038575918375,0.7610885816905312,0.0008898381140325774,75,2048,0.00017045900000045577,32.038707679128535,7.0,16384,7.6437950730763e-05,0.000344250000000379,75,75.0,0.03691773263500008,0.07720640647994054,-79.5995784064486,7.868057831966967e-05,0.01941278822108767,-158.00532349173392,27,32.038707679128535,218,-34.935477748276455,1035.2262957192445,1,0,0,31.63333333333333,82.66666666666667,5461,5679,5680,8.0223349388453e-05,-26.473609468816193,-26.554859468816197,-26.571109468816193,2102,25.0,25.0,25.0,710,683,709,0.0002488504846490175,16820,-39.97601843612484,0.01,21760,86.9711,0.0007812500116415322,174336,7.463813,142854.0,1.5817157,1.0,128.0,8.0,1.7477484,0.15996294,7.6079645,-0.002247095,0.003536893,0.0005,2789376,348160,21760,174336,0.0,2048.0,142854.0,2048.0,0.0,4.915999999965948e-06,1.620899999998926e-05,3.245799999973542e-05,3.72500000000997e-05,6.587499999977098e-05,5.040999999650353e-06,0.20719411384765216,8.823405441636934e-06,1.4404111559933908e-05,1.3297326952564687e-05,2.742828758596457e-06,3.0176890751918455e-06,4.339997948150562e-06,9.341507958662023e-07,1.597089597651064e-05,5.185583321312004e-06,1.1659641269280686e-05,2.586542512985921e-05,0.0001470441285855199,2.140636208667714e-06,0.018014910732986507,0.0008429654043825304,0.0009163056035452576,0.0019013576637064182,4.999216430343395e-06,1.5710484309890688e-05,0.1459189132053238,0.027979870563421255,0.011363179378260358
1,18432,1129.1695069924904,False,9,9a96f_00000,2025-06-02_15-29-55,1748870995,1.802053689956665,16.158187866210938,32560,Tegans-MacBook-Air.local,127.0.0.1,16.158187866210938,9,1.8815356011620583,1.1896232569548883e-05,1.8814097567044288,1.1193826661059192,0.7600570162936259,0.0008941726528922731,75,2048,0.00017045900000045577,32.10642193729174,8.0,18432,7.637223762556951e-05,0.000344250000000379,75,75.0,0.03606437738250004,0.07611591604252212,-78.19031784520132,7.428596081963652e-05,0.021980845983976045,-136.20295436884035,27,32.10642193729174,245,-43.48934823916027,1129.1695069924904,1,0,0,30.899999999999995,82.63333333333334,6144,6389,6389,8.009575050761234e-05,-26.17135594840045,-25.97260594840045,-26.04635594840045,2102,25.0,25.0,25.0,709,683,710,0.00023516756140313247,18922,-39.241110112746426,0.01,21760,92.536644,0.0003906250058207661,196096,7.4474516,142854.0,1.5696785,1.0,128.0,9.0,1.2705326,0.085534334,7.5172915,0.005564928,0.0031661554,0.0005,3137536,348160,21760,196096,0.0,2048.0,142854.0,2048.0,0.0,4.915999999965948e-06,1.620899999998926e-05,3.245799999973542e-05,3.72500000000997e-05,6.587499999977098e-05,5.040999999650353e-06,0.20708652774434205,8.807021470029231e-06,1.438941965919965e-05,1.3261262244025929e-05,2.7367004602695568e-06,3.0130287903370385e-06,4.3296790274080645e-06,9.340719402413366e-07,1.5796708042932362e-05,5.1753509987312875e-06,1.164315443560988e-05,2.5580884346919166e-05,0.00013398015171323967,2.1371179119324784e-06,0.01801479108780069,0.0008429438967108158,0.0009156988127612381,0.001901372264837891,4.998932426600127e-06,1.571077635246444e-05,0.14581498578276342,0.02798003261508379,0.01136018493443325
1,20480,1097.3118631565362,False,10,9a96f_00000,2025-06-02_15-29-57,1748870997,1.8535652160644531,18.01175308227539,32560,Tegans-MacBook-Air.local,127.0.0.1,18.01175308227539,10,1.8812167859904376,1.1888110243858335e-05,1.8810901953873844,1.12016387111486,0.7589543636306896,0.0008941796763633521,75,2048,0.00017045900000045577,32.130385776006676,9.0,20480,7.692298362083912e-05,0.000344250000000379,75,75.0,0.03766781663750022,0.0751040786869455,-85.18032275609066,7.113498656130718e-05,0.024447350278092066,-155.76235969264096,28,32.130385776006676,273,-52.97067509087142,1097.3118631565362,1,0,0,32.05,82.69999999999999,6826,7100,7100,8.04425796231625e-05,-28.391357585363565,-28.402607585363565,-28.386357585363566,2104,25.0,25.0,25.0,711,682,711,0.0002247158215223196,21026,-41.84832149917214,0.01,21888,95.80041,0.00019531250291038305,217984,7.4016366,142854.0,1.5787141,1.0,128.0,10.0,1.3908486,0.05401926,7.4398694,-0.06782317,0.0029822048,0.0005,3487744,350208,21888,217984,0.0,2048.0,142854.0,2048.0,0.0,4.915999999965948e-06,1.620899999998926e-05,3.245799999973542e-05,3.72500000000997e-05,6.587499999977098e-05,5.040999999650353e-06,0.20696691159331337,8.86678952774349e-06,1.4461081643728093e-05,1.335179804143413e-05,2.746629710034348e-06,3.0182610459718183e-06,4.354785555476635e-06,9.402487856178928e-07,1.5746798666398466e-05,5.186903337156123e-06,1.1690079548491902e-05,2.549475654504315e-05,0.00012354821106750792,2.1411752416067003e-06,0.01801469610694529,0.0008429193393520972,0.0009150227022325449,0.0019013960881803637,4.998595881288644e-06,1.5711045605755703e-05,0.1456992552714337,0.027980305984456732,0.011356899515644859
