num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,num_env_steps_sampled_lifetime_throughput,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_episodes,env_runners/connector_pipeline_timer,env_runners/sample,env_runners/env_reset_timer,env_runners/weights_seq_no,env_runners/env_to_module_sum_episodes_length_out,env_runners/episode_return_min,env_runners/episode_duration_sec_mean,env_runners/episode_len_mean,env_runners/episode_return_max,env_runners/episode_len_max,env_runners/num_episodes_lifetime,env_runners/num_env_steps_sampled,env_runners/env_to_module_sum_episodes_length_in,env_runners/rlmodule_inference_timer,env_runners/num_env_steps_sampled_lifetime,env_runners/env_step_timer,env_runners/time_between_sampling,env_runners/episode_len_min,env_runners/episode_return_mean,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/agent_episode_returns_mean/agent_2,env_runners/agent_episode_returns_mean/agent_0,env_runners/agent_episode_returns_mean/agent_1,env_runners/agent_steps/agent_0,env_runners/agent_steps/agent_1,env_runners/agent_steps/agent_2,env_runners/num_agent_steps_sampled/agent_2,env_runners/num_agent_steps_sampled/agent_0,env_runners/num_agent_steps_sampled/agent_1,env_runners/module_episode_returns_mean/shared_policy,env_runners/num_agent_steps_sampled_lifetime/agent_2,env_runners/num_agent_steps_sampled_lifetime/agent_0,env_runners/num_agent_steps_sampled_lifetime/agent_1,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/num_module_steps_sampled/shared_policy,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/shared_policy/entropy,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/curr_kl_coeff,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/gradients_default_optimizer_global_norm,learners/shared_policy/weights_seq_no,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/policy_loss,learners/shared_policy/num_trainable_parameters,learners/shared_policy/mean_kl_loss,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/total_loss,learners/shared_policy/num_module_steps_trained,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/vf_loss,learners/shared_policy/vf_explained_var,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/agent_to_module_mapping,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch
1,2048,nan,False,1,eeb92_00000,2025-06-04_16-19-47,1749046787,2.0530612468719482,2.0530612468719482,45108,Tegans-MacBook-Air.local,127.0.0.1,2.0530612468719482,1,2.0492603749999994,2.062499999944123e-05,2.049096208,1.2514238329999987,0.7954776250000002,0.0011149169999988828,27,0.00032062499999963023,0.1466701920664863,0.00014145899999995493,0.0,31.37149435396863,-182.73594856889446,0.04124552365916676,75.0,-49.11929165607611,75,27,2048,31.37149435396863,0.00012701367588707643,2048,8.646892653937872e-05,0.0059438678682924425,75,-82.59843898999229,nan,1,0,0,27.233333333333334,83.06666666666668,-27.54170188555297,-27.503785218886307,-27.552951885552975,25.0,25.0,25.0,710,682,710,-42.05860599074211,710,682,710,9.768673981961478e-05,0.0005073254843579213,2102,2102,142854,2048,0,21760,21760,348160,2048,348160,nan,1.591851,1.0,130.57701,0.20000000298023224,0.0005,2.7019541,1.0,128.0,0.05440351,142854,0.005097873,0.01,7.593417,21760,21760,7.5539126,0.0037221313,4.833000000203924e-06,3.695900000000307e-05,4.8340000002866645e-06,2.7374999999274507e-05,1.8499999999477268e-05,6.02920000005724e-05,0.21956974999999979,5.258837139724836e-06,1.70088726650963e-05,3.4996592440286565e-06,1.814620031769647e-05,3.312756959380994e-06,1.0763290262582323e-05,2.5418115638833983e-06,0.00036749173936252396,4.1942729546066956e-05,1.3728369250406284e-05,1.1248184858576194e-06,6.102469168196111e-06,2.6705088105346674e-05,0.0019672079999999426,0.15701145899999958,0.018226834000000025,1.6332999999590925e-05,0.02855249999999998,0.000893041999999511,4.832999998427567e-06,0.011779374999999703,0.0008582500000002824
1,4096,1165.1571645026752,False,2,eeb92_00000,2025-06-04_16-19-49,1749046789,1.7375600337982178,3.790621280670166,45108,Tegans-MacBook-Air.local,127.0.0.1,3.790621280670166,2,2.0461060458299993,2.056041999944469e-05,2.04594136258,1.2502463363399987,0.7935012333400002,0.0011134311599989032,27,0.00032062499999963023,0.14490064857448065,0.00014145899999995493,1.0,31.540666754008832,-182.73594856889446,0.036892486745000175,75.0,-46.56012153672637,75,54,2048,31.540666754008832,0.00011588806345350508,4096,8.483937535943714e-05,0.007063447063475299,75,-78.97004516381998,1165.1571645026752,1,0,0,24.0,82.93333333333334,-26.08543172127332,-26.419181721273322,-26.465431721273323,25.0,25.0,25.0,709,683,710,-39.70765352420416,1419,1365,1420,9.493561183126437e-05,0.00045653900771272705,4204,2102,142854.0,2048.0,0.0,21760,43520,348160,2048.0,696320,0.0,1.5913138,1.0,77.60026,0.10000000149011612,0.0005,2.2304149,2.0,128.0,0.036951713,142854.0,0.0042466028,0.01,7.29611,21760,43520,7.274223,0.035141468,4.833000000203924e-06,3.695900000000307e-05,4.8340000002866645e-06,2.7374999999274507e-05,1.8499999999477268e-05,6.02920000005724e-05,0.21955414284169977,5.080901256691349e-06,1.6447914536171246e-05,3.4355215070184003e-06,1.7584428512800198e-05,3.22736496633952e-06,1.0464235982992565e-05,2.4821067079239272e-06,0.0003227703981597252,3.951747570277585e-05,1.3388017556382786e-05,1.0974732518468637e-06,5.962646115240266e-06,2.494597605618344e-05,0.0019672013083999428,0.15699644491659956,0.018226818120800025,1.6332904199590637e-05,0.02855248380829998,0.0008929628874995111,4.832937498427725e-06,0.011778921979199702,0.0008582429500002825
1,6144,1163.9893903753857,False,3,eeb92_00000,2025-06-04_16-19-51,1749046791,1.7482149600982666,5.538836240768433,45108,Tegans-MacBook-Air.local,127.0.0.1,5.538836240768433,3,2.043089648291699,2.047689579946148e-05,2.0429248197842,1.2490929079765987,0.7916382410066002,0.0011125568483989095,27,0.00032062499999963023,0.1418596273116685,0.00014145899999995493,2.0,31.660608001599826,-149.65849280828652,0.03656120518250007,75.0,-46.56012153672637,75,81,2048,31.660608001599826,0.00010635196055642033,6144,8.337576169830496e-05,0.008691786718549276,75,-81.98533178236109,1163.9893903753857,1,0,0,23.75,82.85,-27.47261059412036,-27.300110594120362,-27.21261059412036,25.0,25.0,25.0,710,683,709,-39.4656642457921,2129,2048,2129,9.250952495880984e-05,0.00041313651190082174,6306,2102,142854.0,2048.0,0.0,21760,65280,348160,2048.0,1044480,0.0,1.5893137,1.0,109.23071,0.05000000074505806,0.0005,1.2949173,3.0,128.0,0.06772241,142854.0,0.0037106315,0.01,8.083617,21760,65280,8.031415,0.03450018,4.833000000203924e-06,3.695900000000307e-05,4.8340000002866645e-06,2.7374999999274507e-05,1.8499999999477268e-05,6.02920000005724e-05,0.21952317475576577,4.926872601250791e-06,1.594005504532766e-05,3.3792623253077614e-06,1.7085639194773628e-05,3.1563963008131462e-06,1.0198337511195818e-05,2.4295971602069317e-06,0.00028460905522016304,3.743332270356626e-05,1.3084490942037761e-05,1.075192464536304e-06,5.8422471424655715e-06,2.342563969571953e-05,0.001967187183931943,0.15696670245236757,0.018226782463284026,1.6332377015590563e-05,0.028552418019633978,0.0008928060571495114,4.832834548428337e-06,0.011778017348015701,0.0008582254826002824
1,8192,1148.594131467028,False,4,eeb92_00000,2025-06-04_16-19-52,1749046792,1.7722172737121582,7.311053514480591,45108,Tegans-MacBook-Air.local,127.0.0.1,7.311053514480591,4,2.040341343478782,2.0377546841449677e-05,2.040176109086358,1.2482139338968328,0.7897679294365342,0.0011119054499149437,28,0.00032062499999963023,0.1379672380570018,0.00014145899999995493,3.0,31.74369293616304,-130.99162491978197,0.03683776443999981,75.0,-44.99761933670345,75,109,2048,31.74369293616304,9.837107707267443e-05,8192,8.224143133557251e-05,0.010678832050060243,75,-72.76673490347795,1148.594131467028,1,0,0,28.866666666666664,82.6,-24.1368283011593,-24.174328301159303,-24.455578301159303,25.0,25.0,25.0,711,682,711,-38.047977383869146,2840,2730,2840,9.053573919469444e-05,0.0003764274870771904,8410,2104,142854.0,2048.0,0.0,21888,87168,350208,2048.0,1394688,0.0,1.5947496,1.0,51.0515,0.02500000037252903,0.0005,1.7961607,4.0,128.0,0.006038818,142854.0,0.0032052954,0.01,6.5690837,21888,87168,6.5788326,0.023358405,4.833000000203924e-06,3.695900000000307e-05,4.8340000002866645e-06,2.7374999999274507e-05,1.8499999999477268e-05,6.02920000005724e-05,0.2194773960714663,4.799138992869553e-06,1.5537650773366677e-05,3.3340204976833564e-06,1.6677113231783992e-05,3.095060794562581e-06,9.981983306134177e-06,2.387354228853998e-06,0.0002522488556031837,3.568679688367658e-05,1.2840119999342725e-05,1.05632879155999e-06,5.7426266996853854e-06,2.2151971722899203e-05,0.001967181651022463,0.15692256523872855,0.018226748137106265,1.6334397884850657e-05,0.028552327723360468,0.0008925795421177616,4.832962863679072e-06,0.01177679040895746,0.0008582035236532827
1,10240,1158.8291157795763,False,5,eeb92_00000,2025-06-04_16-19-54,1749046794,1.7560889720916748,9.067142486572266,45108,Tegans-MacBook-Air.local,127.0.0.1,9.067142486572266,5,2.0374613562939943,2.0288771373064578e-05,2.0372950017454943,1.2472877245578646,0.7878124388921688,0.001110491395415805,27,0.00032062499999963023,0.13355362750944877,0.00014145899999995493,4.0,31.855669003544737,-154.38349894212337,0.037005655545000356,75.0,-54.63131248741267,75,136,2048,31.855669003544737,9.155297771052594e-05,10240,8.126594199958714e-05,0.01288989335767681,75,-86.13746088944552,1158.8291157795763,1,0,0,28.55,82.55,-28.796236963148512,-28.67623696314851,-28.66498696314851,25.0,25.0,25.0,709,683,710,-41.26601233511373,3549,3413,3550,8.886544226858446e-05,0.0003451506578324301,10512,2102,142854.0,2048.0,0.0,21760,108928,348160,2048.0,1742848,0.0,1.5935974,1.0082644,135.73485,0.012500000186264515,0.0005,1.4469945,5.0,128.0,-0.0012881303,142854.0,0.0034183161,0.01,7.2752633,21760,108928,7.2924023,0.007538259,4.833000000203924e-06,3.695900000000307e-05,4.8340000002866645e-06,2.7374999999274507e-05,1.8499999999477268e-05,6.02920000005724e-05,0.21941691932247723,4.692699610727401e-06,1.5194806759516479e-05,3.2975873519750615e-06,1.6331886370838458e-05,3.0456673220527885e-06,9.801367452078284e-06,2.3526697065791392e-06,0.00022468318245692125,3.418622902258588e-05,1.2635638101356376e-05,1.0396777207906782e-06,5.659548911761659e-06,2.1072984309243766e-05,0.0019671707100527795,0.15686430465741708,0.01822667049420573,1.6336145099024007e-05,0.028552212112110467,0.0008922777726809321,4.833051129169887e-06,0.011775160340345583,0.0008581745188369626
1,12288,1159.7354898625351,False,6,eeb92_00000,2025-06-04_16-19-56,1749046796,1.7548370361328125,10.821979522705078,45108,Tegans-MacBook-Air.local,127.0.0.1,10.821979522705078,6,2.034597501061054,2.0201713659325424e-05,2.0344309783980394,1.246342439402286,0.7858947678432471,0.0011080531414616498,27,0.00032062499999963023,0.12885017767461462,0.00014145899999995493,5.0,31.9349168879732,-116.83677350171487,0.036567597342499834,75.0,-45.79345066214617,75,163,2048,31.9349168879732,8.56763969850551e-05,12288,8.036628712375242e-05,0.015200638775711204,75,-77.08908885050823,1159.7354898625351,1,0,0,23.599999999999998,82.73333333333333,-25.62427961683607,-25.82677961683607,-25.63802961683607,25.0,25.0,25.0,710,683,709,-37.47431811699146,4259,4096,4259,8.737786849045208e-05,0.00031834252725349075,12614,2102,142854.0,2048.0,0.0,21760,130688,348160,2048.0,2091008,0.0,1.59392,1.0,94.243614,0.0062500000931322575,0.0005,2.3849075,6.0,128.0,0.14835033,142854.0,0.0027464635,0.01,7.85415,21760,130688,7.7217054,-0.07436299,4.833000000203924e-06,3.695900000000307e-05,4.8340000002866645e-06,2.7374999999274507e-05,1.8499999999477268e-05,6.02920000005724e-05,0.2193420299563608,4.5978854654229555e-06,1.4883977553785832e-05,3.2643351163840347e-06,1.602490479608815e-05,2.9999305562347846e-06,9.642659761123265e-06,2.319941769746388e-06,0.00020112630790939672,3.289202479665585e-05,1.2447804127510943e-05,1.0245544939128604e-06,5.586217325248373e-06,2.013404481082116e-05,0.0019671584280373873,0.15679220775620795,0.018226567075149497,1.6338069729125362e-05,0.028552053617813128,0.0008919031389786271,4.833100133064455e-06,0.011773117944065048,0.0008581389279646035
1,14336,1152.4145093098953,False,7,eeb92_00000,2025-06-04_16-19-58,1749046798,1.7666189670562744,12.588598489761353,45108,Tegans-MacBook-Air.local,127.0.0.1,12.588598489761353,7,2.0318797652104434,2.011469652272604e-05,2.031712764444059,1.245398366258263,0.7841209764148146,0.0011067905300470437,28,0.00032062499999963023,0.12403942373817717,0.00014145899999995493,6.0,31.974527280640977,-129.75084773579454,0.03674100415749985,75.0,-44.500694576379686,75,191,2048,31.974527280640977,8.067017336160614e-05,14336,7.957838162265224e-05,0.01753214133647192,75,-80.41945377494228,1152.4145093098953,1,0,0,26.066666666666666,82.73333333333333,-26.783151258314092,-26.82315125831409,-26.813151258314093,25.0,25.0,25.0,711,682,711,-39.18877318584653,4970,4778,4970,8.610260851567482e-05,0.0002955903167275999,14718,2104,142854.0,2048.0,0.0,21888,152576,350208,2048.0,2441216,0.0,1.5924109,1.0086207,106.52534,0.0031250000465661287,0.0005,1.6831466,7.0,128.0,0.08751906,142854.0,0.0038198114,0.01,7.102781,21888,152576,7.031162,-0.0030106306,4.833000000203924e-06,3.695900000000307e-05,4.8340000002866645e-06,2.7374999999274507e-05,1.8499999999477268e-05,6.02920000005724e-05,0.21925298105653443,4.5152924654352325e-06,1.4620170534927678e-05,3.2361877378908655e-06,1.5757583173705004e-05,2.9595644896266717e-06,9.50073421418141e-06,2.2913974839386163e-06,0.00018111465645372627,3.1805626593916684e-05,1.2288149194089744e-05,1.0116516036822936e-06,5.5218074167270796e-06,1.933690486147153e-05,0.0019671404912912985,0.15670655863755728,0.01822643207822497,1.633961385211507e-05,0.028551836226390525,0.0008914562493731004,4.833064851768271e-06,0.011770657675476089,0.0008580986105578083
1,16384,1066.4423388543717,False,8,eeb92_00000,2025-06-04_16-20-00,1749046800,1.9095649719238281,14.49816346168518,45108,Tegans-MacBook-Air.local,127.0.0.1,14.49816346168518,8,2.030619901728339,2.0028969557491874e-05,2.030452558049618,1.2460336175956805,0.7822256820606664,0.0011054722047465423,27,0.00032062499999963023,0.11925092782198986,0.00014145899999995493,7.0,32.038707679128535,-121.24472030552354,0.036529536699999705,75.0,-41.08672622447675,75,218,2048,32.038707679128535,7.637830321671021e-05,16384,7.886874348654439e-05,0.019858399276509293,75,-76.76925048608506,1066.4423388543717,1,0,0,22.3,82.6,-25.68600016202835,-25.57975016202835,-25.50350016202835,25.0,25.0,25.0,709,683,710,-38.38551128533861,5679,5461,5680,8.495561665993373e-05,0.0002760574524110038,16820,2102,142854.0,2048.0,0.0,21760,174336,348160,2048.0,2789376,0.0,1.5918992,1.0,99.0129,0.0015625000232830644,0.0005,1.9424889,8.0,128.0,-0.052755266,142854.0,0.0038031354,0.01,6.653063,21760,174336,6.721725,-0.0079141855,4.833000000203924e-06,3.695900000000307e-05,4.8340000002866645e-06,2.7374999999274507e-05,1.8499999999477268e-05,6.02920000005724e-05,0.21915005425670897,4.441861131041134e-06,1.4378614812386796e-05,3.2102588482684038e-06,1.552422494758724e-05,2.9233208620113546e-06,9.374470976399362e-06,2.26757490223537e-06,0.00016399065017315987,3.085202858201807e-05,1.2144797668386986e-05,1.0008097801845426e-06,5.465187838076121e-06,1.8646083788881328e-05,0.0019671152182373277,0.156607630068004,0.018226257032931417,1.6340801585672323e-05,0.028551542906634593,0.0008909389656457864,4.833017766084932e-06,0.011767807437964501,0.0008580582106063526
1,18432,1159.6251970191458,False,9,eeb92_00000,2025-06-04_16-20-01,1749046801,1.754889965057373,16.253053426742554,45108,Tegans-MacBook-Air.local,127.0.0.1,16.253053426742554,9,2.0278236972910557,1.9931599861941606e-05,2.0276561891291216,1.2450761472497238,0.7803866248300598,0.0011039341526991018,27,0.00032062499999963023,0.11458511714928983,0.00014145899999995493,8.0,32.10642193729174,-155.31315948435554,0.036671628449999785,75.0,-36.198892461210015,75,245,2048,32.10642193729174,7.277753863256955e-05,18432,7.831608252673615e-05,0.022307041807461833,75,-78.41446022770504,1159.6251970191458,1,0,0,24.46666666666667,82.43333333333334,-26.12565340923501,-26.20315340923501,-26.08565340923501,25.0,25.0,25.0,710,683,709,-38.404355159970855,6389,6144,6389,8.402655398476197e-05,0.00025956474702650494,18922,2102,142854.0,2048.0,0.0,21760,196096,348160,2048.0,3137536,0.0,1.5927576,1.0,100.39782,0.0007812500116415322,0.0005,1.1069661,9.0,128.0,-0.005108092,142854.0,0.0038913551,0.01,7.381579,21760,196096,7.402609,0.0048463345,4.833000000203924e-06,3.695900000000307e-05,4.8340000002866645e-06,2.7374999999274507e-05,1.8499999999477268e-05,6.02920000005724e-05,0.21903359045727436,4.3826484142594e-06,1.418659672005106e-05,3.1888052516234336e-06,1.533407773575204e-05,2.8949561000892517e-06,9.272929638590958e-06,2.247097798688678e-06,0.00014949810805955842,3.0062764624643794e-05,1.2028923802531284e-05,9.926605282776608e-07,5.415659745521215e-06,1.8062926008222136e-05,0.0019670851865953073,0.15649569780987801,0.01822608508283591,1.634147740317352e-05,0.028551189998851142,0.0008903532153680815,4.832892415630124e-06,0.0117645749269356,0.0008580106045928703
1,20480,1158.3988324679183,False,10,eeb92_00000,2025-06-04_16-20-03,1749046803,1.7562789916992188,18.009332418441772,45108,Tegans-MacBook-Air.local,127.0.0.1,18.009332418441772,10,2.0250714482381453,1.9838533863302628e-05,2.0249038426578303,1.2440880016072264,0.7786220923317592,0.0011022881511721276,28,0.00032062499999963023,0.11011433614663568,0.00014145899999995493,9.0,32.130385776006676,-142.77808914454835,0.0366104315999998,75.0,-42.65267994753542,75,273,2048,32.130385776006676,6.967879746166053e-05,20480,7.781116628372967e-05,0.02458411654483931,75,-84.25448600922066,1158.3988324679183,1,0,0,22.6,82.45,-28.120245336406878,-28.10024533640688,-28.03399533640688,25.0,25.0,25.0,711,682,711,-40.97644166580178,7100,6826,7100,8.322058016573863e-05,0.00024546031325043793,21026,2104,142854.0,2048.0,0.0,21888,217984,350208,2048.0,3487744,0.0,1.589465,1.0,103.94014,0.0003906250058207661,0.0005,2.0519276,10.0,128.0,-0.005695511,142854.0,0.0031325563,0.01,6.8400316,21888,217984,6.8616195,-0.07647407,4.833000000203924e-06,3.695900000000307e-05,4.8340000002866645e-06,2.7374999999274507e-05,1.8499999999477268e-05,6.02920000005724e-05,0.21890389182840278,4.32932698843255e-06,1.4021383503482636e-05,3.1689191017364096e-06,1.5169220809325529e-05,2.869018001450283e-06,9.185114247009084e-06,2.229614411695763e-06,0.00013713096724280718,2.9381157890848167e-05,1.1924502609269907e-05,9.848671633244616e-07,5.375602067598116e-06,1.7563095013002336e-05,0.001967048231564303,0.15637103309220776,0.018225920425239024,1.6341884824166198e-05,0.028550788582432693,0.0008897001903993663,4.832736270408089e-06,0.011760975293683478,0.0008579563531785971
