num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,num_env_steps_sampled_lifetime_throughput,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_episodes_lifetime,env_runners/episode_return_min,env_runners/env_reset_timer,env_runners/weights_seq_no,env_runners/episode_len_min,env_runners/episode_len_mean,env_runners/num_episodes,env_runners/episode_return_mean,env_runners/connector_pipeline_timer,env_runners/env_step_timer,env_runners/episode_return_max,env_runners/rlmodule_inference_timer,env_runners/env_to_module_sum_episodes_length_in,env_runners/episode_duration_sec_mean,env_runners/num_env_steps_sampled_lifetime,env_runners/time_between_sampling,env_runners/num_env_steps_sampled,env_runners/env_to_module_sum_episodes_length_out,env_runners/sample,env_runners/episode_len_max,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/agent_steps/agent_0,env_runners/agent_steps/agent_2,env_runners/agent_steps/agent_1,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/num_module_steps_sampled/shared_policy,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/module_episode_returns_mean/shared_policy,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled/agent_2,env_runners/num_agent_steps_sampled/agent_1,env_runners/num_agent_steps_sampled/agent_0,env_runners/num_agent_steps_sampled_lifetime/agent_2,env_runners/num_agent_steps_sampled_lifetime/agent_1,env_runners/num_agent_steps_sampled_lifetime/agent_0,env_runners/agent_episode_returns_mean/agent_2,env_runners/agent_episode_returns_mean/agent_1,env_runners/agent_episode_returns_mean/agent_0,learners/shared_policy/vf_explained_var,learners/shared_policy/weights_seq_no,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/policy_loss,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/num_trainable_parameters,learners/shared_policy/entropy,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/gradients_default_optimizer_global_norm,learners/shared_policy/num_module_steps_trained,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/mean_kl_loss,learners/shared_policy/total_loss,learners/shared_policy/curr_kl_coeff,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/vf_loss,learners/shared_policy/num_module_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/agent_to_module_mapping,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation
1,2048,nan,False,1,2301b_00000,2025-06-02_17-35-11,1748878511,1.9229001998901367,1.9229001998901367,34831,Tegans-MacBook-Air.local,127.0.0.1,1.9229001998901367,1,1.918633625,1.8457999999554886e-05,1.918482041999999,1.1468806249999997,0.7691020000000002,0.001109124999999267,27,-164.5625178350011,0.00011158299999980414,0.0,75,75.0,27,-79.38490790295826,0.0002639579999996755,7.566027200997522e-05,-41.93657618483501,0.00015056782021018048,31.37149435396863,0.03758434150249994,2048,0.005065081853437929,2048,31.37149435396863,0.0842026197878505,75,nan,1,0,0,18.566666666666666,82.93333333333332,25.0,25.0,25.0,2102,2102,8.137536372597166e-05,-39.14506235752586,0.00041582336984958364,710,710,682,710,710,682,-26.52899707876388,-26.368163745430543,-26.487747078763878,-0.0053977966,1.0,0.01,-0.014738576,99.573555,142854,1.592541,0.0005,1.5902835,21760,128.0,0.0029666724,7.3692646,0.10000000149011612,1.0,7.3993354,21760,348160,142854,21760,2048,0,21760,2048,348160,nan,1.2416999999764755e-05,4.125000000243517e-06,4.5829999999469325e-06,3.0999999999892225e-05,2.0083999999975788e-05,4.720799999979874e-05,0.22301229199999995,4.281174761228472e-06,2.7586338716260724e-06,3.069516022772178e-06,1.481144031808498e-05,8.98970491688478e-06,1.395778917827925e-05,1.7940224611448294e-05,1.1848069464832792e-05,3.443218380669881e-05,2.1772514838585164e-06,5.486933145197678e-06,0.00030230685347824903,9.337217723312816e-07,0.027761667000000045,0.16066750000000063,1.4833999999908087e-05,0.0018812080000003562,4.540999999136375e-06,0.0009281669999996467,0.018086040999998332,0.000954916999999611,0.01247008299999841
1,4096,1134.217542635585,False,2,2301b_00000,2025-06-02_17-35-13,1748878513,1.7914800643920898,3.7143802642822266,34831,Tegans-MacBook-Air.local,127.0.0.1,3.7143802642822266,2,1.91732499,1.838591999955952e-05,1.9171731019999991,1.1473593608399997,0.7673178104200002,0.0011073941699993029,54,-147.41624280627715,0.00011158299999980414,1.0,75,75.0,27,-80.09750622879278,0.0002639579999996755,7.636648062721154e-05,-41.10904523629091,0.0001365013497757586,31.540666754008832,0.03740274054499998,4096,0.006158613211133326,2048,31.540666754008832,0.08379054720227129,75,1134.217542635585,1,0,0,30.166666666666668,82.36666666666666,25.0,25.0,25.0,4204,2102,8.14622187957115e-05,-40.52947172862475,0.00037973517489207947,709,710,683,1419,1420,1365,-26.703752076264262,-26.683752076264263,-26.710002076264264,0.008876324,2.0,0.01,0.017188858,93.189255,142854.0,1.5831672,0.0005,1.2559884,21760,128.0,0.0031975058,7.189718,0.05000000074505806,1.0085471,7.1880403,43520,696320,142854.0,21760,2048.0,0.0,43520,2048.0,348160,0.0,1.2416999999764755e-05,4.125000000243517e-06,4.5829999999469325e-06,3.0999999999892225e-05,2.0083999999975788e-05,4.720799999979874e-05,0.22299640518749994,4.293933752758797e-06,2.755339531328961e-06,3.0699834420040777e-06,1.4827105673430088e-05,9.048966985536977e-06,1.3968556495457779e-05,1.763983735462888e-05,1.183606770308382e-05,3.33178069054167e-05,2.172059166258166e-06,5.477374955080555e-06,0.0002677065595690855,9.354192244032108e-07,0.027761701408300046,0.16065211672910062,1.4833995699908087e-05,0.0018812082376003562,4.5409708991364534e-06,0.0009281516040996467,0.01808605580839833,0.0009548327457996108,0.012469641062498411
1,6144,1150.8509380597231,False,3,2301b_00000,2025-06-02_17-35-15,1748878515,1.7683367729187012,5.482717037200928,34831,Tegans-MacBook-Air.local,127.0.0.1,5.482717037200928,3,1.91579137135,1.8314140799564883e-05,1.9156388797299992,1.1471699197315997,0.7659714773158003,0.0011090918982993234,81,-172.2723776153817,0.00011158299999980414,2.0,75,75.0,27,-81.04899324302707,0.0002639579999996755,7.609667892021048e-05,-47.80849074518372,0.00012379819663074133,31.660608001599826,0.037155711087499925,6144,0.00779509666189216,2048,31.660608001599826,0.08313841370343926,75,1150.8509380597231,1,0,0,23.5,82.2,25.0,25.0,25.0,6306,2102,8.106860628743911e-05,-38.99293734616926,0.0003476530839632433,710,709,683,2129,2129,2048,-27.18049774767569,-27.00174774767569,-26.86674774767569,-0.008998275,3.0,0.01,0.026452992,119.50434,142854.0,1.5830618,0.0005,1.7198366,21760,128.0,0.0041498193,7.746978,0.02500000037252903,1.0,7.736149,65280,1044480,142854.0,21760,2048.0,0.0,65280,2048.0,348160,0.0,1.2416999999764755e-05,4.125000000243517e-06,4.5829999999469325e-06,3.0999999999892225e-05,2.0083999999975788e-05,4.720799999979874e-05,0.22296486654454994,4.269392072537292e-06,2.7416191450047684e-06,3.0595724937290704e-06,1.4758003956116562e-05,8.992682702230995e-06,1.3870665452614624e-05,1.7207039104907842e-05,1.1769943108748553e-05,3.2092715612655305e-05,2.160808934334115e-06,5.443203950740559e-06,0.00023766516665034855,9.321915113313513e-07,0.027761728053434048,0.16062166500691863,1.4833816485907994e-05,0.0018812040746483561,4.5409132811366105e-06,0.0009281201244176467,0.01808604402483033,0.0009546653141836109,0.012468767834648412
1,8192,1166.250183426725,False,4,2301b_00000,2025-06-02_17-35-16,1748878516,1.7432539463043213,7.225970983505249,34831,Tegans-MacBook-Air.local,127.0.0.1,7.225970983505249,4,1.9140262234765,1.826683939158211e-05,1.913873166352699,1.1473387822042835,0.7640403100426423,0.00110707305931634,109,-116.35299181429502,0.00011158299999980414,3.0,75,75.0,28,-77.31801013364483,0.0002639579999996755,7.610217274293092e-05,-40.40522932330646,0.00011319025281081465,31.74369293616304,0.03711492267750027,8192,0.009847817104336421,2048,31.74369293616304,0.08228704579660125,75,1166.250183426725,1,0,0,30.0,81.76666666666667,25.0,25.0,25.0,8410,2104,8.089311107433585e-05,-39.13296719005073,0.00032078965897745993,711,711,682,2840,2840,2730,-25.804336711214955,-25.831836711214955,-25.681836711214956,-0.0071640015,4.0,0.01,0.051273428,78.471565,142854.0,1.5750983,0.0005,3.3359244,21888,128.0,0.0040823794,7.193361,0.012500000186264515,1.0,7.1577363,87168,1394688,142854.0,21888,2048.0,0.0,87168,2048.0,350208,0.0,1.2416999999764755e-05,4.125000000243517e-06,4.5829999999469325e-06,3.0999999999892225e-05,2.0083999999975788e-05,4.720799999979874e-05,0.2229180215464402,4.259210054187293e-06,2.733158571639859e-06,3.055263721410892e-06,1.4732459463875008e-05,8.962698915226688e-06,1.3836558943582009e-05,1.687506462833512e-05,1.1739795041947184e-05,3.109950374486216e-05,2.1558797766307582e-06,5.423715582377778e-06,0.0002123239105133262,9.327082014866989e-07,0.02776179827472454,0.16057645601170736,1.4834282456617878e-05,0.0018811971407316362,4.540961118406867e-06,0.000928084580068877,0.01808603542135285,0.0009544195437253511,0.01246739454054916
1,10240,1185.937234105112,False,5,2301b_00000,2025-06-02_17-35-18,1748878518,1.7150659561157227,8.941036939620972,34831,Tegans-MacBook-Air.local,127.0.0.1,8.941036939620972,5,1.9119995508217351,1.8182510997667265e-05,1.911846256359172,1.1472797460422408,0.7620757102722158,0.0011058206587231854,136,-132.4620484175494,0.00011158299999980414,4.0,75,75.0,27,-79.42740880170206,0.0002639579999996755,7.587330299205829e-05,-40.40522932330646,0.00010397098701659757,31.855669003544737,0.03642456840499983,10240,0.012076466187006274,2048,31.855669003544737,0.08128705666998864,75,1185.937234105112,1,0,0,23.450000000000003,81.5,25.0,25.0,25.0,10512,2102,8.056695707196735e-05,-38.29050574410513,0.00029754241068218946,709,710,683,3549,3550,3413,-26.547469600567347,-26.376219600567346,-26.503719600567347,-0.02141571,5.0,0.01,-0.06109835,76.457634,142854.0,1.5802233,0.0005,1.235144,21760,128.0,0.0029449868,6.5968866,0.0062500000931322575,1.0,6.6737504,108928,1742848,142854.0,21760,2048.0,0.0,108928,2048.0,348160,0.0,1.2416999999764755e-05,4.125000000243517e-06,4.5829999999469325e-06,3.0999999999892225e-05,2.0083999999975788e-05,4.720799999979874e-05,0.2228560680991382,4.238758374010474e-06,2.721424612424773e-06,3.0481355248596717e-06,1.467731845877846e-05,8.915285011648888e-06,1.3756463850771954e-05,1.6566118578428035e-05,1.169157170356553e-05,3.0210836786653726e-05,2.1474393401086624e-06,5.39850577162457e-06,0.0001905536665846123,9.306365894861215e-07,0.027761914031283877,0.1605167626257996,1.4835526526264921e-05,0.0018811855458857859,4.540999807603551e-06,0.0009280343262946408,0.018085974210542435,0.0009540924471448382,0.01246551763554843
1,12288,1180.795326410253,False,6,2301b_00000,2025-06-02_17-35-20,1748878520,1.723592758178711,10.664629697799683,34831,Tegans-MacBook-Air.local,127.0.0.1,10.664629697799683,6,1.910077373223518,1.8120275887673444e-05,1.9099237296355802,1.1472553394118183,0.7601799794194936,0.001104180782135942,163,-122.6809236092121,0.00011158299999980414,5.0,75,75.0,27,-79.09542964676278,0.0002639579999996755,7.57012563106771e-05,-43.206112607620206,9.61178800638706e-05,31.9349168879732,0.036499670620000424,12288,0.01437582570404611,2048,31.9349168879732,0.08020101663517692,75,1180.795326410253,1,0,0,27.633333333333336,81.46666666666667,25.0,25.0,25.0,12614,2102,8.029237500993845e-05,-38.41535286961744,0.0002777543489276539,710,709,683,4259,4259,4096,-26.384309882254257,-26.276809882254256,-26.434309882254254,-0.08123267,6.0,0.01,0.26046818,112.332245,142854.0,1.5634267,0.0005,2.243622,21760,128.0,0.003598374,7.9704022,0.0031250000465661287,1.0,7.725546,130688,2091008,142854.0,21760,2048.0,0.0,130688,2048.0,348160,0.0,1.2416999999764755e-05,4.125000000243517e-06,4.5829999999469325e-06,3.0999999999892225e-05,2.0083999999975788e-05,4.720799999979874e-05,0.22277965574782757,4.222819627014187e-06,2.7120973292841514e-06,3.041809857122894e-06,1.4626173610323829e-05,8.872539052799306e-06,1.3688475614463793e-05,1.629617352747671e-05,1.1651364897882073e-05,2.944590138178365e-05,2.1401225584953236e-06,5.377886554678881e-06,0.00017203289717870386,9.291190760545631e-07,0.027762145763784555,0.16044289332030884,1.483754978627327e-05,0.0018811891673227797,4.541071126904651e-06,0.0009279705191378825,0.018086010378806094,0.0009536871963415633,0.01246323002499366
1,14336,1085.9269049301931,False,7,2301b_00000,2025-06-02_17-35-22,1748878522,1.8752648830413818,12.539894580841064,34831,Tegans-MacBook-Air.local,127.0.0.1,12.539894580841064,7,1.9096921649012826,1.808240312878982e-05,1.9095382019192244,1.1486299889377,0.7584197529652986,0.0011043752243145644,191,-130.5018578579624,0.00011158299999980414,6.0,75,75.0,28,-79.11514105622499,0.0002639579999996755,7.678445062862833e-05,-43.8780783262623,9.06479108556335e-05,31.974527280640977,0.04030767763249941,14336,0.016698145959282033,2048,31.974527280640977,0.07917622274080025,75,1085.9269049301931,1,0,0,43.400000000000006,82.65,25.0,25.0,25.0,14718,2104,8.108860019185834e-05,-39.034788244791365,0.00026343733761996,711,711,682,4970,4970,4778,-26.435047018741653,-26.345047018741653,-26.33504701874165,-0.03622091,7.0,0.01,0.041510653,89.64793,142854.0,1.5757366,0.0005,1.2733803,21888,128.0,0.002862796,7.577875,0.0015625000232830644,1.0,7.552113,152576,2441216,142854.0,21888,2048.0,0.0,152576,2048.0,350208,0.0,1.2416999999764755e-05,4.125000000243517e-06,4.5829999999469325e-06,3.0999999999892225e-05,2.0083999999975788e-05,4.720799999979874e-05,0.22268914334923323,4.287518785924177e-06,2.738686842561474e-06,3.062601367035267e-06,1.4787499047324696e-05,8.975094586717105e-06,1.3896870894957779e-05,1.6292313285159366e-05,1.17520845243343e-05,2.9114099494662376e-05,2.158091221505209e-06,5.40746744467847e-06,0.00015762276396138396,9.440364666376912e-07,0.02776253002863209,0.1603551762955653,1.484736572842911e-05,0.0018811961894764449,4.5412827198388825e-06,0.0009278970971916299,0.018086099059583426,0.0009532084121096395,0.012460559802386431
1,16384,1050.0509099084636,False,8,2301b_00000,2025-06-02_17-35-24,1748878524,1.9371960163116455,14.47709059715271,34831,Tegans-MacBook-Air.local,127.0.0.1,14.47709059715271,8,1.9099314503422697,1.8030329097496604e-05,1.909777061980032,1.1508355740483232,0.7564549533456456,0.0011019352220714034,218,-126.57274349214416,0.00011158299999980414,7.0,75,75.0,27,-84.14818876803457,0.0002639579999996755,7.642775321997065e-05,-40.00336449759904,8.476387898114553e-05,32.038707679128535,0.03662418509250015,16384,0.019021387370134032,2048,32.038707679128535,0.07818405227905273,75,1050.0509099084636,1,0,0,28.666666666666668,82.8,25.0,25.0,25.0,16820,2102,8.070447742247424e-05,-41.69534355526248,0.00024859036108527705,709,710,683,5679,5680,5461,-28.021896256011516,-28.040646256011513,-28.085646256011515,0.0059176087,8.0,0.01,0.113588266,119.05332,142854.0,1.571798,0.0005,1.8917962,21760,128.0,0.0039270176,8.106683,0.0007812500116415322,1.0,8.008807,174336,2789376,142854.0,21760,2048.0,0.0,174336,2048.0,348160,0.0,1.2416999999764755e-05,4.125000000243517e-06,4.5829999999469325e-06,3.0999999999892225e-05,2.0083999999975788e-05,4.720799999979874e-05,0.22258442465803602,4.259527929331159e-06,2.7254964144100198e-06,3.0531814742593693e-06,1.4714568996329264e-05,8.915241313527932e-06,1.3803185629375188e-05,1.6051044853453165e-05,1.1694251239781373e-05,2.8504104236987646e-05,2.149056695096346e-06,5.3847530036227805e-06,0.00014391741838762313,9.404188467535142e-07,0.0277629079686063,0.16025384840118465,1.485698909676336e-05,0.0018812013522703042,4.541531773801549e-06,0.0009278182508323883,0.01808616702400733,0.0009526531473427199,0.012457418465328846
1,18432,1180.0507182687268,False,9,2301b_00000,2025-06-02_17-35-25,1748878525,1.724348783493042,16.201439380645752,34831,Tegans-MacBook-Air.local,127.0.0.1,16.201439380645752,9,1.908038035008847,1.7967525806544724e-05,1.9078833651102316,1.15083654080784,0.7545637238121892,0.0010992775398506816,245,-124.1770838015842,0.00011158299999980414,8.0,75,75.0,27,-73.93497964532673,0.0002639579999996755,7.624502187599562e-05,-43.905012849066125,7.984883437487229e-05,32.10642193729174,0.036684590370000894,18432,0.02152349454573036,2048,32.10642193729174,0.07717497327482574,75,1180.0507182687268,1,0,0,26.63333333333333,82.23333333333333,25.0,25.0,25.0,18922,2102,8.051285092898718e-05,-37.56284866617982,0.00023622147712330953,710,709,683,6389,6389,6144,-24.763743215108903,-24.5762432151089,-24.594993215108904,0.019598603,9.0,0.01,0.1627716,65.45651,142854.0,1.5645587,0.0005,2.119504,21760,128.0,0.0030235087,7.422527,0.0003906250058207661,1.0,7.2753987,196096,3137536,142854.0,21760,2048.0,0.0,196096,2048.0,348160,0.0,1.2416999999764755e-05,4.125000000243517e-06,4.5829999999469325e-06,3.0999999999892225e-05,2.0083999999975788e-05,4.720799999979874e-05,0.2224658649763278,4.243798208297071e-06,2.720749163114565e-06,3.05092688943265e-06,1.4681345225044646e-05,8.883951895936744e-06,1.3746751125501007e-05,1.5876085390925025e-05,1.166160822647395e-05,2.8020642709471326e-05,2.1440250136478097e-06,5.371403410412112e-06,0.00013236345308305887,9.381943985198154e-07,0.027763315238478158,0.16013920342206203,1.4866331061158107e-05,0.0018812038796893386,4.5417717184129095e-06,0.0009277277041906124,0.0180862411817368,0.0009520229920299277,0.012453820174032175
1,20480,1182.834603963566,False,10,2301b_00000,2025-06-02_17-35-27,1748878527,1.7193961143493652,17.920835494995117,34831,Tegans-MacBook-Air.local,127.0.0.1,17.920835494995117,10,1.9061142475687585,1.7889930548505484e-05,1.9059593731291293,1.1507935112297618,0.7526849132440673,0.0010972705944521893,273,-126.13488210545613,0.00011158299999980414,9.0,75,75.0,28,-80.75569602641514,0.0002639579999996755,7.605484506032162e-05,-46.710422688629315,7.55946067675501e-05,32.130385776006676,0.03656250022499978,20480,0.023815027846628804,2048,32.130385776006676,0.07618091549215338,75,1182.834603963566,1,0,0,24.799999999999997,81.95,25.0,25.0,25.0,21026,2104,8.025839828944456e-05,-40.923656446717935,0.00022557934340307508,711,711,682,7100,7100,6826,-26.872315342138386,-26.899815342138385,-26.983565342138387,0.023405313,10.0,0.01,0.10346199,61.064835,142854.0,1.558182,0.0005,3.2365623,21888,128.0,0.0033071113,7.9939704,0.00019531250291038305,1.0,7.9060893,217984,3487744,142854.0,21888,2048.0,0.0,217984,2048.0,350208,0.0,1.2416999999764755e-05,4.125000000243517e-06,4.5829999999469325e-06,3.0999999999892225e-05,2.0083999999975788e-05,4.720799999979874e-05,0.22233375571658798,4.227220566644494e-06,2.7128181314270875e-06,3.0450093708296145e-06,1.4637118869391204e-05,8.843122721473037e-06,1.36807588916037e-05,1.571039839221974e-05,1.1627529902784986e-05,2.7598208246297582e-05,2.1375451285571525e-06,5.354597451437338e-06,0.00012249318777798863,9.355647094407166e-07,0.027763747526355718,0.16001152684108172,1.4875421287355244e-05,0.0018812039781247656,4.541977710954655e-06,0.0009276255533565888,0.018086329510409276,0.0009513197870086568,0.012449764794214904
