num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,num_env_steps_sampled_lifetime_throughput,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/env_step_timer,env_runners/sample,env_runners/env_to_module_sum_episodes_length_out,env_runners/rlmodule_inference_timer,env_runners/connector_pipeline_timer,env_runners/env_to_module_sum_episodes_length_in,env_runners/episode_duration_sec_mean,env_runners/episode_len_min,env_runners/episode_len_max,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/num_episodes,env_runners/num_episodes_lifetime,env_runners/weights_seq_no,env_runners/time_between_sampling,env_runners/env_reset_timer,env_runners/num_env_steps_sampled,env_runners/episode_len_mean,env_runners/episode_return_mean,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/module_episode_returns_mean/shared_policy,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/agent_episode_returns_mean/agent_1,env_runners/agent_episode_returns_mean/agent_2,env_runners/agent_episode_returns_mean/agent_0,env_runners/num_module_steps_sampled/shared_policy,env_runners/num_agent_steps_sampled_lifetime/agent_2,env_runners/num_agent_steps_sampled_lifetime/agent_1,env_runners/num_agent_steps_sampled_lifetime/agent_0,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/num_agent_steps_sampled/agent_1,env_runners/num_agent_steps_sampled/agent_2,env_runners/num_agent_steps_sampled/agent_0,env_runners/agent_steps/agent_2,env_runners/agent_steps/agent_1,env_runners/agent_steps/agent_0,learners/shared_policy/policy_loss,learners/shared_policy/weights_seq_no,learners/shared_policy/num_trainable_parameters,learners/shared_policy/vf_loss,learners/shared_policy/vf_explained_var,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/entropy,learners/shared_policy/mean_kl_loss,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/curr_kl_coeff,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/gradients_default_optimizer_global_norm,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/num_module_steps_trained,learners/shared_policy/total_loss,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/vf_loss_unclipped,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/numpy_to_tensor,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch
1,2048,nan,False,1,5a2d7_00000,2025-06-04_16-51-25,1749048685,2.2031798362731934,2.2031798362731934,46435,Tegans-MacBook-Air.local,127.0.0.1,2.2031798362731934,1,2.1969863330000017,1.2124999999585384e-05,2.1967793749999984,1.2153298340000003,0.9790049580000009,0.0010664590000004637,8.16876504703223e-05,0.09391912135235526,31.37149435396863,0.0001287801105978789,0.0004924169999993566,31.37149435396863,0.03945414728833349,75,75,2048,-42.657344503212855,-120.9523914531986,27,27,0.0,0.006096400779402876,0.00032916700000029664,2048,75.0,-77.02739320130355,nan,1,0,0,29.224999999999998,82.925,0.0004452058378020148,-38.151661733187986,8.667751808119227e-05,-25.627325511545635,-25.889825511545638,-25.5102421782123,2102,710,710,682,2102,710,710,682,25.0,25.0,25.0,0.07270681,1.0,142854,7.0911875,0.059755266,0.0005,1.5952121,0.0032846148,1.0,0.10000000149011612,0.01,1.194029,21760,21760,7.1485996,128.0,83.72675,142854,348160,0,2048,21760,2048,21760,348160,nan,4.737500000029371e-05,7.45000000001994e-05,5.499999999436511e-06,2.7291999999512484e-05,5.416699999916119e-05,5.708000000659297e-06,0.24073633300000097,2.221285979384166e-06,3.425078263137933e-05,9.874730491893763e-07,5.421588434264227e-06,1.238996767568339e-05,1.9379738157733226e-05,0.0003275529207529738,1.559667221561325e-05,2.9068506613302833e-06,9.754265694792334e-06,3.216116349942326e-06,1.5343389006254657e-05,4.7932463137321565e-06,0.0008551249999992905,0.0020040420000011494,0.01868616600000017,5.8750000011542625e-06,0.176591084,0.0009798750000005185,0.011961124999999129,2.0041999999165228e-05,0.029333000000001164
1,4096,1078.8908182473535,False,2,5a2d7_00000,2025-06-04_16-51-27,1749048687,1.867583990097046,4.070763826370239,46435,Tegans-MacBook-Air.local,127.0.0.1,4.070763826370239,2,2.193652863010002,1.2139999999600802e-05,2.1934457804099985,1.21527355066,0.9757310775900008,0.0010653994100004738,8.144483788453742e-05,0.09342339378438387,31.540666754008832,0.00011807791716031926,0.0004924169999993566,31.540666754008832,0.03962908686250003,75,75,4096,-42.87144180793859,-148.51980213966064,27,54,1.0,0.007486759553179563,0.00032916700000029664,2048,75.0,-88.59548484521663,1078.8908182473535,1,0,0,41.0,82.4,0.0004050742455792448,-43.57451420354863,8.628582777501465e-05,-29.54974494840556,-29.58349494840556,-29.46224494840556,2102,1419,1420,1365,4204,710,709,683,25.0,25.0,25.0,0.18679525,2.0,142854.0,7.8581195,-0.014428735,0.0005,1.5908314,0.0035985722,1.0,0.05000000074505806,0.01,1.5613027,43520,21760,8.0293665,128.0,107.90529,142854.0,696320,0.0,2048.0,43520,2048.0,21760,348160,0.0,4.737500000029371e-05,7.45000000001994e-05,5.499999999436511e-06,2.7291999999512484e-05,5.416699999916119e-05,5.708000000659297e-06,0.24071872113750095,2.212506436521174e-06,3.3059610920281583e-05,9.874696376651438e-07,5.401471610398556e-06,1.2321491919517723e-05,1.8847936212699515e-05,0.00028967400869433276,1.555881085747073e-05,2.8926821831393442e-06,9.706888703133338e-06,3.2087213794987466e-06,1.5228431805705464e-05,4.76695582321914e-06,0.0008551200333992907,0.002004032850001149,0.018686163037600168,5.875170801154361e-06,0.1765741150583,0.0009797985417005185,0.011960683029199129,2.004303329916546e-05,0.029332907225001162
1,6144,837.8592652570563,False,3,5a2d7_00000,2025-06-04_16-51-29,1749048689,2.4331061840057373,6.503870010375977,46435,Tegans-MacBook-Air.local,127.0.0.1,6.503870010375977,3,2.196003204379902,1.2169019999616104e-05,2.195795413435899,1.2192637459934001,0.9740769434741008,0.0010736304159004663,8.417686968594568e-05,0.09268960131257875,31.660608001599826,0.00011199046055981978,0.0004924169999993566,31.660608001599826,0.050013818755000015,75,75,6144,-39.06813705486617,-134.2946041640169,27,81,2.0,0.009413202372202308,0.00032916700000029664,2048,75.0,-78.30177906227337,837.8592652570563,1,0,0,63.625,82.05000000000001,0.00037887935408325663,-37.75308799503353,8.931537100538643e-05,-26.016843020757797,-26.086843020757797,-26.198093020757796,2102,2129,2129,2048,6306,709,710,683,25.0,25.0,25.0,0.09047939,3.0,142854.0,7.3504434,-0.005735278,0.0005,1.5941038,0.0033528828,1.0,0.02500000037252903,0.01,1.4086599,65280,21760,7.42515,128.0,113.586,142854.0,1044480,0.0,2048.0,65280,2048.0,21760,348160,0.0,4.737500000029371e-05,7.45000000001994e-05,5.499999999436511e-06,2.7291999999512484e-05,5.416699999916119e-05,5.708000000659297e-06,0.24068429709975095,2.2768697431290914e-06,3.31422080366204e-05,1.0210461303170358e-06,5.504834397930083e-06,1.2662714998526348e-05,1.9017578038085958e-05,0.0002617410955460846,1.6101641393711133e-05,2.9740814140035336e-06,1.015080516316897e-05,3.326314465836427e-06,1.6018151121306253e-05,5.004249643759561e-06,0.000855119766131291,0.002004031916301149,0.018686229101248168,5.875792385154558e-06,0.176540608032934,0.0009796506292665181,0.011959890239515129,2.005302923316574e-05,0.02933287898470116
1,8192,1124.3164308443154,False,4,5a2d7_00000,2025-06-04_16-51-31,1749048691,1.8043451309204102,8.308215141296387,46435,Tegans-MacBook-Air.local,127.0.0.1,8.308215141296387,4,2.192048868586103,1.2253999799595815e-05,2.19184094639154,1.2187986897834662,0.9705905757093598,0.0010718328617414887,8.300205653198045e-05,0.0919122865260591,31.74369293616304,0.0001032396835706887,0.0004924169999993566,31.74369293616304,0.038123895152499886,75,75,8192,-40.667392582824604,-126.65384515259453,28,109,3.0,0.011943686565689853,0.00032916700000029664,2048,75.0,-76.98075333142805,1124.3164308443154,1,0,0,30.5,82.2,0.0003474922658198166,-40.64332202229893,8.813157327951891e-05,-25.67983444380934,-25.709834443809342,-25.59108444380934,2104,2840,2840,2730,8410,711,711,682,25.0,25.0,25.0,0.07598346,4.0,142854.0,7.0840626,0.016728163,0.0005,1.5876311,0.004425062,1.0,0.012500000186264515,0.01,1.6715602,87168,21888,7.144281,128.0,77.18391,142854.0,1394688,0.0,2048.0,87168,2048.0,21888,350208,0.0,4.737500000029371e-05,7.45000000001994e-05,5.499999999436511e-06,2.7291999999512484e-05,5.416699999916119e-05,5.708000000659297e-06,0.24063292761654217,2.2527951463009036e-06,3.1994180602655375e-05,1.0088273739038941e-06,5.455164126163787e-06,1.2518208590984437e-05,1.8422733534972558e-05,0.00023293308438364265,1.5898744692442988e-05,2.9394155344197137e-06,9.990666049331662e-06,3.2914694322537683e-06,1.5674396310600574e-05,4.913104700489537e-06,0.0008551166589053114,0.0020040235354901485,0.01868622797321945,5.8762515203945965e-06,0.1764908278032695,0.0009794172952270277,0.011958673020721889,2.0062479345156177e-05,0.02933278485598466
1,10240,1136.6883466176769,False,5,5a2d7_00000,2025-06-04_16-51-33,1749048693,1.7908296585083008,10.099044799804688,46435,Tegans-MacBook-Air.local,127.0.0.1,10.099044799804688,5,2.1879992594802418,1.2237289801581068e-05,2.1877914919276242,1.2183144099656313,0.9670266782822662,0.001070887033124092,8.191212656655004e-05,0.0907853303120765,31.855669003544737,9.572109672093562e-05,0.0004924169999993566,31.855669003544737,0.03725088808000012,75,75,10240,-45.47362219759574,-120.7486592258326,27,136,4.0,0.014547758361722547,0.00032916700000029664,2048,75.0,-78.65934506442072,1136.6883466176769,1,0,0,31.46666666666667,82.1,0.0003206433540664173,-38.64968861369418,8.70609198505191e-05,-26.14686502147356,-26.29561502147356,-26.21686502147356,2102,3549,3550,3413,10512,710,709,683,25.0,25.0,25.0,0.07624293,5.0,142854.0,7.390259,-0.020436049,0.0005,1.589026,0.0029783698,1.0,0.0062500000931322575,0.01,1.4538008,108928,21760,7.4506483,128.0,86.25643,142854.0,1742848,0.0,2048.0,108928,2048.0,21760,348160,0.0,4.737500000029371e-05,7.45000000001994e-05,5.499999999436511e-06,2.7291999999512484e-05,5.416699999916119e-05,5.708000000659297e-06,0.24056493189328762,2.2306569382425898e-06,3.099532370720957e-05,9.97125218967046e-07,5.409037106647718e-06,1.2388198552253676e-05,1.790173256554878e-05,0.00020833787675816098,1.5709084294135218e-05,2.906998912786693e-06,9.843442011421795e-06,3.2595679531114973e-06,1.537136027309421e-05,4.8267808523099316e-06,0.0008551088893472387,0.002004012856603738,0.018686160578141178,5.876709693691588e-06,0.17642508496739498,0.0009791042087054004,0.011957008011380563,2.0072897651983324e-05,0.029332644784444018
1,12288,1149.5063881493813,False,6,5a2d7_00000,2025-06-04_16-51-35,1749048695,1.7701921463012695,11.869236946105957,46435,Tegans-MacBook-Air.local,127.0.0.1,11.869236946105957,6,2.183781076885439,1.222824690356306e-05,2.183573461178348,1.217770215455975,0.9633553164994435,0.001069459822792829,8.095012562003165e-05,0.08942772730687672,31.9349168879732,8.927333046726293e-05,0.0004924169999993566,31.9349168879732,0.03715522042750028,75,75,12288,-33.56756757535943,-125.32934553842557,27,163,5.0,0.017133713879851617,0.00032916700000029664,2048,75.0,-78.60886521808186,1149.5063881493813,1,0,0,26.75,82.05,0.0002976456373614374,-38.0593930438826,8.611547765195533e-05,-26.092538406027288,-26.318788406027288,-26.197538406027288,2102,4259,4259,4096,12614,709,710,683,25.0,25.0,25.0,0.050452728,6.0,142854.0,7.400602,0.05956167,0.0005,1.5856293,0.0029573846,1.0,0.0031250000465661287,0.01,4.2921286,130688,21760,7.4352174,128.0,63.202084,142854.0,2091008,0.0,2048.0,130688,2048.0,21760,348160,0.0,4.737500000029371e-05,7.45000000001994e-05,5.499999999436511e-06,2.7291999999512484e-05,5.416699999916119e-05,5.708000000659297e-06,0.2404806970125365,2.2102388330183414e-06,3.013464960024454e-05,9.869977528298055e-07,5.370610244464358e-06,1.227513118156444e-05,1.7449819969935218e-05,0.00018731034983242604,1.554221853780229e-05,2.8803173480532526e-06,9.716186978818342e-06,3.233352046288139e-06,1.5107673295018447e-05,4.752961204528234e-06,0.0008550966093144366,0.0020040050472415064,0.01868603423316715,5.877050278370459e-06,0.17634369791795762,0.000978709196384683,0.011954940284923991,2.0083659744739353e-05,0.02933247028994859
1,14336,1057.491436947599,False,7,5a2d7_00000,2025-06-04_16-51-37,1749048697,1.9253549575805664,13.794591903686523,46435,Tegans-MacBook-Air.local,127.0.0.1,13.794591903686523,7,2.1811555652865846,1.2213044434541012e-05,2.180947867396564,1.2183475358014153,0.960149609164449,0.0010702056345648994,8.109876534614502e-05,0.08797621004216778,31.974527280640977,8.47730892692441e-05,0.0004924169999993566,31.974527280640977,0.039254023187500105,75,75,14336,-33.56756757535943,-126.53651022255663,28,191,6.0,0.0196344923226733,0.00032916700000029664,2048,75.0,-88.39422305526638,1057.491436947599,1,0,0,41.96666666666667,82.36666666666667,0.0002800817254957824,-42.76027953425462,8.634205259503139e-05,-29.464741018422117,-29.52974101842212,-29.39974101842212,2104,4970,4970,4778,14718,711,711,682,25.0,25.0,25.0,0.07339225,7.0,142854.0,7.916259,-0.10526979,0.0005,1.5763078,0.003668447,1.0,0.0015625000232830644,0.01,1.6801356,152576,21888,7.9738994,128.0,87.895424,142854.0,2441216,0.0,2048.0,152576,2048.0,21888,350208,0.0,4.737500000029371e-05,7.45000000001994e-05,5.499999999436511e-06,2.7291999999512484e-05,5.416699999916119e-05,5.708000000659297e-06,0.24038082259451107,2.2095419869840526e-06,2.9642371973830805e-05,9.887694249088524e-07,5.3796581053142716e-06,1.2271923819051376e-05,1.724578474148196e-05,0.00017053804166727822,1.5589110287501797e-05,2.882348869393483e-06,9.734836252322406e-06,3.2380769910565268e-06,1.5113217665182108e-05,4.756738819984573e-06,0.0008550843722933559,0.0020039966219808593,0.01868593940323479,5.877771380386408e-06,0.17624703975101227,0.0009782388654895097,0.011952528837195412,2.0094740905875034e-05,0.029332325841664626
1,16384,986.0428750931836,False,8,5a2d7_00000,2025-06-04_16-51-39,1749048699,2.0570099353790283,15.851601839065552,46435,Tegans-MacBook-Air.local,127.0.0.1,15.851601839065552,8,2.1798761821337185,1.2650913990202823e-05,2.1796659120525987,1.2203784091934011,0.9568383622328045,0.0010688931582192758,8.078339436112868e-05,0.0865641994462019,32.038707679128535,8.044840815263089e-05,0.0004924169999993566,32.038707679128535,0.039577866292499764,75,75,16384,-45.163172415785944,-142.22361862483075,27,218,7.0,0.022128354821643294,0.00032916700000029664,2048,75.0,-81.48240804647729,986.0428750931836,1,0,0,44.800000000000004,82.2,0.0002642008259072226,-40.8517756216842,8.595480017599042e-05,-27.36371934882578,-27.15621934882578,-26.962469348825774,2102,5679,5680,5461,16820,710,709,683,25.0,25.0,25.0,0.07884143,8.0,142854.0,7.4167,0.0125774145,0.0005,1.5779583,0.0040459437,1.0,0.0007812500116415322,0.01,2.8834236,174336,21760,7.4797688,128.0,93.512474,142854.0,2789376,0.0,2048.0,174336,2048.0,21760,348160,0.0,4.737500000029371e-05,7.45000000001994e-05,5.499999999436511e-06,2.7291999999512484e-05,5.416699999916119e-05,5.708000000659297e-06,0.24026530493264492,2.2064379627720934e-06,2.9114502467272152e-05,9.850480832851152e-07,5.3605353296561646e-06,1.2225547093865203e-05,1.6982569485735188e-05,0.00015577317432180097,1.5532574537994904e-05,2.8708121374369394e-06,9.686624643972004e-06,3.2288129880212936e-06,1.5010785079409135e-05,4.731214971646977e-06,0.0008550738078517652,0.002003976910520701,0.01868581031237776,5.878302855334226e-06,0.17613538147761404,0.0009776895744926016,0.011949706261892913,2.0104867077813506e-05,0.029332092110317346
1,18432,1128.6241916579177,False,9,5a2d7_00000,2025-06-04_16-51-41,1749048701,1.8035509586334229,17.655152797698975,46435,Tegans-MacBook-Air.local,127.0.0.1,17.655152797698975,9,2.1760757757223814,1.2668574850327883e-05,2.175865600852073,1.2200109455214672,0.9534077161104765,0.0010686404766370953,8.023315828414498e-05,0.0851197439255235,32.10642193729174,7.647872058915822e-05,0.0004924169999993566,32.10642193729174,0.03775195175999996,75,75,18432,-36.874441852787164,-154.32877247014522,27,245,8.0,0.024757778228964127,0.00032916700000029664,2048,75.0,-79.97195318120507,1128.6241916579177,1,0,0,29.733333333333334,81.93333333333334,0.00025006934439963826,-39.874103610215464,8.536890372530742e-05,-26.698567727068358,-26.693567727068356,-26.579817727068356,2102,6389,6389,6144,18922,709,710,683,25.0,25.0,25.0,0.07965698,9.0,142854.0,7.1119714,0.042406857,0.0005,1.570703,0.004240274,1.0,0.0003906250058207661,0.01,1.7769712,196096,21760,7.1759257,128.0,91.789,142854.0,3137536,0.0,2048.0,196096,2048.0,21760,348160,0.0,4.737500000029371e-05,7.45000000001994e-05,5.499999999436511e-06,2.7291999999512484e-05,5.416699999916119e-05,5.708000000659297e-06,0.24013454251675662,2.1957723645006184e-06,2.8593644718212023e-05,9.783969191618887e-07,5.337611719485992e-06,1.2158535526305536e-05,1.6706874269248135e-05,0.00014283321278916225,1.543195744937999e-05,2.8545835541815323e-06,9.611171079645765e-06,3.213415325642771e-06,1.4854137217783743e-05,4.687880525993994e-06,0.0008550602920617775,0.002003951451927548,0.018685639500997546,5.878827623644979e-06,0.17600903812820867,0.0009770665246290828,0.011946500406012743,2.0115764552222547e-05,0.029331821266912847
1,20480,1107.9403291902781,False,10,5a2d7_00000,2025-06-04_16-51-43,1749048703,1.837043046951294,19.49219584465027,46435,Tegans-MacBook-Air.local,127.0.0.1,19.49219584465027,10,2.172648817965158,1.2649389101801882e-05,2.1724389844235525,1.2197168289862526,0.9502766281093717,0.0010672349018707044,7.971459107795205e-05,0.08367270595100067,32.130385776006676,7.308793130381212e-05,0.0004924169999993566,32.130385776006676,0.03766198714250009,75,75,20480,-45.88541257876725,-166.7517608604533,28,273,9.0,0.02713665287757652,0.00032916700000029664,2048,75.0,-86.39480021036965,1107.9403291902781,1,0,0,37.3,81.95,0.00023797992559739932,-42.184557661119506,8.4849191068434e-05,-28.866600070123223,-28.709100070123224,-28.819100070123223,2104,7100,7100,6826,21026,711,711,682,25.0,25.0,25.0,0.033514354,10.0,142854.0,7.467184,-0.08825374,0.0005,1.5688429,0.002849633,1.0,0.00019531250291038305,0.01,3.2774134,217984,21888,7.4850106,128.0,84.97535,142854.0,3487744,0.0,2048.0,217984,2048.0,21888,350208,0.0,4.737500000029371e-05,7.45000000001994e-05,5.499999999436511e-06,2.7291999999512484e-05,5.416699999916119e-05,5.708000000659297e-06,0.23998919981869282,2.1860261288718047e-06,2.813807285371682e-05,9.728396683861595e-07,5.318692253475017e-06,1.209880839696375e-05,1.6467661366465916e-05,0.00013177925429592153,1.534571987850606e-05,2.8419114041722633e-06,9.537298926658609e-06,3.1979379757082624e-06,1.4703137417465864e-05,4.650631298812695e-06,0.0008550565601068045,0.0020039450048152056,0.0186855568789137,5.879208266303905e-06,0.17586835299934367,0.0009763737043053847,0.011942940429923988,2.0128791890435632e-05,0.029331625164565406
